ID,Description,gene_ratio,fold_enrichment,p_value,fdr,study,timepoint,contrast,regulation
GO:0071705,nitrogen compound transport,42/179,-1.42314926588249,0.00564583148418884,0.159815021798976,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0010468,regulation of gene expression,44/132,-1.40501792114695,0.00568893479277384,0.11925949888754,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0016236,macroautophagy,14/179,-2.00855818376322,0.00570906909398737,0.159815021798976,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0008104,protein localization,55/179,-1.33886614363794,0.00576447217931629,0.159815021798976,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0006094,gluconeogenesis,5/132,-3.95959595959596,0.00590203152704933,0.119359908176445,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0019319,hexose biosynthetic process,5/132,-3.95959595959596,0.00590203152704933,0.119359908176445,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0035051,cardiocyte differentiation,5/132,-3.95959595959596,0.00590203152704933,0.119359908176445,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,6/132,-3.39393939393939,0.00598396261002183,0.119609671239855,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0031669,cellular response to nutrient levels,10/179,-2.32517819302639,0.00619261657693684,0.16817538933802,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0070727,cellular macromolecule localization,55/179,-1.33405007837306,0.00627520109470224,0.16817538933802,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0008037,cell recognition,9/179,-2.42748603351955,0.00679790367819123,0.173533831202058,MISAME-III,1-2 mo.,BEP,Downregulated
GO:1900180,regulation of protein localization to nucleus,9/179,-2.42748603351955,0.00679790367819123,0.173533831202058,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0030258,lipid modification,6/179,-3.11216158143532,0.00679890010306571,0.173533831202058,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0009152,purine ribonucleotide biosynthetic process,7/179,-2.77653631284916,0.00734065195712646,0.18159643610860501,MISAME-III,1-2 mo.,BEP,Downregulated
GO:1900182,positive regulation of protein localization to nucleus,7/179,-2.77653631284916,0.00734065195712646,0.18159643610860501,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0006915,apoptotic process,29/132,-1.54477510531322,0.00773931175236017,0.152918125313875,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0022618,protein-RNA complex assembly,10/179,-2.24767225325885,0.00811433631874142,0.197694739402064,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0006351,DNA-templated transcription,24/132,-1.62909090909091,0.00817734371409638,0.159627035215105,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:2000116,regulation of cysteine-type endopeptidase activity,7/132,-2.86729362591432,0.00826457599426665,0.159627035215105,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:1901700,response to oxygen-containing compound,29/132,-1.53104377104377,0.00880432832470428,0.168162671001852,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
