"study","timepoint","contrast","direction","fatty_acid","fatty_acid_name","enrichment_ratio","raw_p","fdr_native"
"Misame","1-2 mo.","BEP","down","20:5(5Z,8Z,11Z,14Z,17Z)",NA,-0.0245832210117924,0.430412353115454,0.678622043816735
"Misame","14-21 days","BEP","up","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",-0.0317349247443714,0.434107058025281,0.677532404377027
"Misame","1-2 mo.","BEP","up","14:0","Myristic Acid",-0.00726962038473896,0.436528978095376,0.867114778662396
"Misame","3-4 mo.","BEP","down","19:0","Nonadecylic Acid",0.011410643228825,0.439723701079021,0.84305645628716
"Misame","14-21 days","BEP","up","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",0.000854815378624904,0.440396062845068,0.677532404377027
"Misame","3-4 mo.","BEP","up","17:1(9Z)",NA,-0.0257367253958163,0.449842162474671,0.749736937457785
"Misame","1-2 mo.","BEP","up","19:0","Nonadecylic Acid",0.0108599219710331,0.454772333808178,0.867114778662396
"Misame","1-2 mo.","BEP","up","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",0.0101402301402301,0.456376199295998,0.867114778662396
"Misame","14-21 days","BEP","down","14:0","Myristic Acid",0.0639963817047151,0.457081482736235,0.665287981140981
"Elicit","1 mo.","Nico","up","22:5(7Z,10Z,13Z,16Z,19Z)","Docosapentaenoic Acid",0.00557410644910646,0.458444413474882,0.788524391176798
"Misame","1-2 mo.","BEP","down","12:0","Lauric Acid",-0.00459332372304458,0.459382123354498,0.678622043816735
"Misame","14-21 days","BEP","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.0560981211159192,0.462113603574622,0.684612746036477
"Misame","1-2 mo.","BEP","down","20:4(8Z,11Z,14Z,17Z)",NA,-0.0159578419352855,0.462564322070712,0.678622043816735
"Misame","1-2 mo.","BEP","down","15:0","Pentadecylic Acid",-0.00574436763952893,0.463449200655332,0.678622043816735
