"study","timepoint","contrast","direction","fatty_acid","fatty_acid_name","enrichment_ratio","raw_p","fdr_native"
"Misame","1-2 mo.","BEP/BEP","down","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",0.0380474568921539,0.707682585092296,1
"Misame","1-2 mo.","BEP/BEP","down","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,0.0216224852588489,0.715197101231299,1
"Misame","14-21 days","IFA/BEP","up","20:1(11Z)","Gondoic Acid",-0.0437364242511301,0.716772234630328,0.847094459108569
"Vital","1.5 mo.","BEP+ExBf","up","unknown",NA,-0.0416666666666667,0.716800516994495,0.918400662399196
"Vital","1.5 mo.","BEP+ExBf+AZT","up","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",-0.015089154672488,0.71709282659924,0.902149039915173
"Misame","3-4 mo.","IFA/BEP","up","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.005593743973559,0.717212917907946,0.945247089593937
"Misame","1-2 mo.","BEP/IFA","down","22:3(10Z,13Z,16Z)",NA,0.0511440378383754,0.71925699684574,0.983515565076854
"Misame","1-2 mo.","BEP/IFA","down","20:1(11Z)","Gondoic Acid",0.0102817716995206,0.722763725296719,0.983515565076854
"Misame","3-4 mo.","IFA/BEP","up","17:0","Margaric Acid",-0.0164640156443435,0.735371023610961,0.945247089593937
"Misame","1-2 mo.","IFA/BEP","down","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",0.0351935275807456,0.745211772822052,0.985875288691444
"Vital","1.5 mo.","BEP+ExBf","up","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",-0.00410020566483151,0.746308858906883,0.921603010608243
"Misame","3-4 mo.","IFA/BEP","up","15:0","Pentadecylic Acid",-0.0220367364117364,0.748117888327923,0.945247089593937
"Misame","3-4 mo.","IFA/BEP","up","15:1(9Z)","9Z-Pentadecenoic Acid",-0.00104895104895104,0.749749950066532,0.945247089593937
"Misame","1-2 mo.","BEP/BEP","down","20:4(8Z,11Z,14Z,17Z)",NA,0.00311074890022259,0.75040324844131,1
"Misame","1-2 mo.","BEP/IFA","down","18:1(11Z)",NA,-0.00673552134599681,0.759413011796758,0.983515565076854
"Misame","3-4 mo.","BEP/BEP","up","15:0","Pentadecylic Acid",-0.0140019454751598,0.759872068983688,0.895675589355825
"Misame","14-21 days","IFA/BEP","down","14:1(9Z)","Myristoleic Acid",0.0142097231080282,0.760216084920797,0.96294037423301
"Misame","3-4 mo.","IFA/BEP","up","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",-0.00771634974221181,0.775476103513391,0.945247089593937
"Misame","3-4 mo.","BEP/BEP","up","18:1(9Z)",NA,-0.0444847897625282,0.780104545567977,0.895675589355825
"Vital","1.5 mo.","BEP+ExBf+AZT","up","18:2(9Z,12Z)",NA,0.00376302028702724,0.78146387885996,0.952409102360577
"Misame","1-2 mo.","BEP/BEP","down","12:0","Lauric Acid",0.0067394212161654,0.786674560710769,1
"Misame","1-2 mo.","IFA/BEP","up","18:1(11Z)",NA,0.0211126180819275,0.790988740259866,1
"Vital","1.5 mo.","BEP+ExBf","up","19:1(9Z)","9Z-Nonadecenoic Acid",-0.00371798404490529,0.798097612034088,0.921603010608243
"Misame","14-21 days","BEP/BEP","up","13:0","Tridecylic Acid",-0.0171026687891767,0.803302823385836,0.966496731285932
"Misame","1-2 mo.","BEP/IFA","down","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.0130521608021608,0.803602398802587,0.983515565076854
"Vital","1.5 mo.","BEP+ExBf","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.0070553589252831,0.808127754261344,0.921603010608243
"Vital","1.5 mo.","BEP+ExBf","up","17:0","Margaric Acid",-0.0329305987422871,0.809212399558457,0.921603010608243
"Misame","14-21 days","BEP/BEP","up","20:3n6",NA,0.0025740376304286,0.811207282491891,0.966496731285932
"Misame","14-21 days","BEP/BEP","up","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.0207564942180327,0.811254134791838,0.966496731285932
"Misame","3-4 mo.","IFA/BEP","up","20:0",NA,-0.0163746419065568,0.818086284279294,0.945247089593937
"Misame","1-2 mo.","BEP/IFA","down","18:2(9Z,12Z)",NA,0.00751408363075314,0.818867956902279,0.983515565076854
"Misame","1-2 mo.","IFA/BEP","down","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",-0.0117269482654098,0.82156550705115,0.985875288691444
"Misame","3-4 mo.","IFA/BEP","up","20:1(11Z)","Gondoic Acid",0.0417752930620578,0.82259140260652,0.945247089593937
"Misame","1-2 mo.","BEP/BEP","down","19:1(9Z)","9Z-Nonadecenoic Acid",0.00380856903773851,0.824565744555386,1
"Misame","1-2 mo.","BEP/IFA","down","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.022666695767019,0.827292244964244,0.983515565076854
"Misame","1-2 mo.","BEP/IFA","down","12:0","Lauric Acid",0.00245606579760931,0.83498955557184,0.983515565076854
"Misame","1-2 mo.","BEP/BEP","down","18:0",NA,-0.0138839186544946,0.83868991951888,1
"Misame","1-2 mo.","IFA/BEP","down","15:0","Pentadecylic Acid",0.00416284385935162,0.842315005619787,0.985875288691444
"Misame","14-21 days","BEP/BEP","up","18:1(11Z)",NA,0.015613733232861,0.842640581560977,0.966496731285932
"Misame","1-2 mo.","BEP/IFA","down","18:1(9Z)",NA,-0.0112251729266132,0.843013341494446,0.983515565076854
"Misame","14-21 days","BEP/BEP","up","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",-0.00994174650189687,0.84568463987519,0.966496731285932
"Misame","1-2 mo.","BEP/BEP","down","20:3(5Z,8Z,11Z)","Mead Acid",0.0081973549189569,0.84642312100159,1
"Elicit","5 mo.","Az.","up","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",-0.0113453903946862,0.84667961613483,0.84667961613483
"Misame","3-4 mo.","BEP/BEP","up","22:1(11Z)",NA,0.0036705379447315,0.847724369150575,0.938551980130994
"Misame","14-21 days","IFA/BEP","up","20:4(8Z,11Z,14Z,17Z)",NA,0.00855270298252754,0.855132140584706,0.98088686714128
