"study","timepoint","contrast","direction","fatty_acid","fatty_acid_name","enrichment_ratio","raw_p","fdr_native"
"Elicit","5 mo.","Az.","up","16:1(9Z)","Palmitoleic Acid",-0.0490975868383784,0.358251448263733,0.733798966222086
"Misame","1-2 mo.","IFA/BEP","down","17:0","Margaric Acid",-0.00175557583263676,0.358517180942876,0.735903687198535
"Elicit","1 mo.","Nico","up","17:1(9Z)",NA,-0.0102941250668523,0.362910533607676,0.471274415064213
"Vital","1.5 mo.","BEP+ExBf+AZT","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",0.0052424629922723,0.366302795721479,0.714290451656884
"Misame","14-21 days","IFA/BEP","down","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.0195312359598074,0.372942797092497,0.545070241904419
"Misame","1-2 mo.","BEP/BEP","down","22:5(4Z,7Z,10Z,13Z,16Z)",NA,0.0268553953169338,0.373014859547572,0.925510935415467
"Elicit","5 mo.","Az.","up","20:0",NA,-0.0278798188072382,0.374629651093931,0.733798966222086
"Elicit","1 mo.","Nico","up","16:0","Palmitic Acid",0.0108013970413856,0.37701953205137,0.471274415064213
"Elicit","5 mo.","Az.","up","18:2(9Z,12Z)",NA,-0.0689889058949691,0.377841084805752,0.733798966222086
"Misame","14-21 days","IFA/BEP","up","18:2(9Z,12Z)",NA,-0.048207832213553,0.377930342226696,0.672934589460115
"Misame","14-21 days","IFA/BEP","up","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",-0.0159828580110993,0.379604127387757,0.672934589460115
"Misame","1-2 mo.","IFA/BEP","down","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.0309431665200896,0.383688790616539,0.748193141702251
"Misame","1-2 mo.","BEP/BEP","down","20:3n6",NA,0.0260333781715361,0.384233674265836,0.925510935415467
"Misame","14-21 days","BEP/BEP","up","22:5(7Z,10Z,13Z,16Z,19Z)","Docosapentaenoic Acid",-0.039148446361365,0.388276553242877,0.651467246656991
"Misame","14-21 days","BEP/BEP","up","19:1(9Z)","9Z-Nonadecenoic Acid",0.00351558742564929,0.388507809255828,0.651467246656991
"Misame","14-21 days","BEP/BEP","up","20:4(8Z,11Z,14Z,17Z)",NA,-0.00631859044139746,0.390880347994195,0.651467246656991
"Misame","3-4 mo.","IFA/BEP","up","18:1(9Z)",NA,0.0388403019912076,0.391223715610987,0.723763873880325
"Vital","1.5 mo.","BEP+ExBf","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",-0.0290839631494443,0.393578042432671,0.797445297568637
"Misame","14-21 days","IFA/BEP","up","22:3(10Z,13Z,16Z)",NA,-0.00708496091286507,0.399451810062311,0.677331330105658
"Misame","1-2 mo.","IFA/BEP","down","18:1(11Z)",NA,-0.0156390815162745,0.403155010096551,0.748716447322167
"Vital","1.5 mo.","BEP+ExBf+AZT","up","19:0","Nonadecylic Acid",-0.00494573944573945,0.40426918765224,0.750785634211303
"Misame","3-4 mo.","BEP/BEP","up","20:3(5Z,8Z,11Z)","Mead Acid",-0.0206893128589353,0.407914108189077,0.71929977527249
"Misame","1-2 mo.","BEP/BEP","down","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.0221606405754275,0.40919954489133,0.925510935415467
"Misame","3-4 mo.","BEP/BEP","up","17:0","Margaric Acid",-0.0104970413932678,0.417657934029188,0.71929977527249
"Elicit","5 mo.","Az.","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",-0.0290108606475311,0.418100733391543,0.733798966222086
"Misame","1-2 mo.","BEP/BEP","down","15:1(9Z)","9Z-Pentadecenoic Acid",0.00636851415598556,0.428895311533997,0.925510935415467
"Misame","3-4 mo.","IFA/BEP","up","19:1(9Z)","9Z-Nonadecenoic Acid",-0.00374136334449187,0.429063987443796,0.75059981859781
"Misame","14-21 days","BEP/BEP","up","16:1(9Z)","Palmitoleic Acid",0.00728015264308691,0.431588022798677,0.690540836477883
"Vital","1.5 mo.","BEP+ExBf","up","20:3n6",NA,0.0252483749194276,0.432721607761124,0.797445297568637
"Elicit","5 mo.","Az.","up","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",-0.0152324341366619,0.433169112720501,0.733798966222086
"Misame","1-2 mo.","IFA/BEP","up","16:1(9Z)","Palmitoleic Acid",-0.028492731613285,0.434044153700442,0.844004823267008
"Misame","1-2 mo.","BEP/IFA","down","20:5(5Z,8Z,11Z,14Z,17Z)",NA,-0.0529286322143465,0.437964948100621,0.79243148767052
"Misame","1-2 mo.","BEP/IFA","down","18:0",NA,-0.0118032256718228,0.438705571606139,0.79243148767052
"Vital","1.5 mo.","BEP+ExBf+AZT","up","22:5(7Z,10Z,13Z,16Z,19Z)","Docosapentaenoic Acid",-0.0316540982165982,0.440007846720637,0.769573244235442
"Misame","1-2 mo.","IFA/BEP","up","15:1(9Z)","9Z-Pentadecenoic Acid",0.00684403559403559,0.446098356511706,0.844004823267008
"Misame","3-4 mo.","IFA/BEP","up","20:3(5Z,8Z,11Z)","Mead Acid",-0.0184724442955048,0.446302594841941,0.75059981859781
"Misame","1-2 mo.","IFA/BEP","down","20:5(5Z,8Z,11Z,14Z,17Z)",NA,0.0025968475968476,0.451869098386713,0.801040674412809
