"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Misame (1-2 mo.)","BEP/BEP","down","Pyruvate Metabolism",2,1,0.0683,0.0672,1
"Misame (1-2 mo.)","BEP/BEP","down","Gluconeogenesis",2,1,0.0683,0.0672,1
"Misame (1-2 mo.)","BEP/BEP","down","Beta Oxidation of Very Long Chain Fatty Acids",3,1,0.102,0.0991,1
"Misame (1-2 mo.)","BEP/BEP","down","Homocysteine Degradation",3,1,0.102,0.0991,1
"Misame (1-2 mo.)","BEP/BEP","down","Fatty Acid Biosynthesis",3,1,0.102,0.0991,1
"Misame (1-2 mo.)","BEP/BEP","down","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,1,0.102,0.0991,1
"Misame (1-2 mo.)","BEP/BEP","down","Catecholamine Biosynthesis",4,1,0.137,0.13,1
"Misame (1-2 mo.)","BEP/BEP","down","Arachidonic Acid Metabolism",4,1,0.137,0.13,1
"Misame (1-2 mo.)","BEP/BEP","down","Betaine Metabolism",4,1,0.137,0.13,1
"Misame (1-2 mo.)","BEP/BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism",5,1,0.171,0.16,1
"Misame (1-2 mo.)","BEP/BEP","down","Warburg Effect",5,1,0.171,0.16,1
"Misame (1-2 mo.)","BEP/BEP","down","Sphingolipid Metabolism",7,1,0.239,0.217,1
"Misame (1-2 mo.)","BEP/BEP","down","Glycine and Serine Metabolism",13,1,0.444,0.366,1
"Misame (1-2 mo.)","BEP/BEP","up","Bile Acid Biosynthesis",15,3,0.171,0.000389,0.0381
"Misame (1-2 mo.)","BEP/BEP","up","Beta-Alanine Metabolism",7,2,0.0797,0.00227,0.0985
"Misame (1-2 mo.)","BEP/BEP","up","Histidine Metabolism",8,2,0.0911,0.00301,0.0985
"Misame (1-2 mo.)","BEP/BEP","up","Taurine and Hypotaurine Metabolism",2,1,0.0228,0.0227,0.37
"Misame (1-2 mo.)","BEP/BEP","up","Pyrimidine Metabolism",2,1,0.0228,0.0227,0.37
"Misame (1-2 mo.)","BEP/BEP","up","Methylhistidine Metabolism",2,1,0.0228,0.0227,0.37
"Misame (1-2 mo.)","BEP/BEP","up","Propanoate Metabolism",3,1,0.0341,0.0338,0.473
"Misame (1-2 mo.)","BEP/BEP","up","Aspartate Metabolism",8,1,0.0911,0.088,0.958
"Misame (1-2 mo.)","BEP/BEP","up","Glutamate Metabolism",8,1,0.0911,0.088,0.958
"Misame (1-2 mo.)","BEP/IFA","down","Fatty Acid Biosynthesis",3,2,0.0829,0.00213,0.208
"Misame (1-2 mo.)","BEP/IFA","down","Warburg Effect",5,2,0.138,0.00686,0.31
