study,timepoint,contrast,direction,klass,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
Mumta-LW,2 mo.,BEP,down,metabolite,Alanine Metabolism,3,0.247,1,0.23,1,-4.048582995951417
Mumta-LW,2 mo.,BEP,down,metabolite,Betaine Metabolism,3,0.247,1,0.23,1,-4.048582995951417
Mumta-LW,2 mo.,BEP,down,metabolite,Homocysteine Degradation,3,0.247,1,0.23,1,-4.048582995951417
ELICIT,5 mo.,Nico,down,metabolite,Purine Metabolism,5,0.258,1,0.237,1,-3.875968992248062
MISAME-III,14-21 days,BEP,down,metabolite,Beta-Alanine Metabolism,6,0.99,2,0.257,1,-2.0202020202020203
MISAME-III,14-21 days,BEP,down,metabolite,Histidine Metabolism,6,0.99,2,0.257,1,-2.0202020202020203
MISAME-III,1-2 mo.,BEP,up,metabolite,Aspartate Metabolism,7,0.289,1,0.263,1,3.4602076124567476
Mumta-LW,1.5 mo.,BEP,up,metabolite,Purine Metabolism,5,0.309,1,0.278,1,3.236245954692557
ELICIT,5 mo.,Nico,down,metabolite,Beta-Alanine Metabolism,6,0.309,1,0.278,1,-3.236245954692557
Mumta-LW,2 mo.,BEP,down,metabolite,Glutathione Metabolism,4,0.33,1,0.295,1,-3.0303030303030303
Mumta-LW,2 mo.,BEP,down,metabolite,Carnitine Synthesis,4,0.33,1,0.295,1,-3.0303030303030303
Mumta-LW,2 mo.,BEP,down,metabolite,Warburg Effect,4,0.33,1,0.295,1,-3.0303030303030303
ELICIT,1 mo.,Nico,down,metabolite,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,0.34,1,0.306,1,-2.941176470588235
Mumta-LW,2 mo.,BEP,up,metabolite,Ammonia Recycling,7,0.361,1,0.318,1,2.770083102493075
Mumta-LW,2 mo.,BEP,up,metabolite,Aspartate Metabolism,7,0.361,1,0.318,1,2.770083102493075
ELICIT,5 mo.,Nico,down,metabolite,Ammonia Recycling,7,0.361,1,0.318,1,-2.770083102493075
ELICIT,5 mo.,Nico,down,metabolite,Urea Cycle,7,0.361,1,0.318,1,-2.770083102493075
ELICIT,5 mo.,Nico,down,metabolite,Aspartate Metabolism,7,0.361,1,0.318,1,-2.770083102493075
MISAME-III,14-21 days,BEP,down,metabolite,Ammonia Recycling,7,1.15,2,0.325,1,-1.7391304347826089
MISAME-III,14-21 days,BEP,down,metabolite,Aspartate Metabolism,7,1.15,2,0.325,1,-1.7391304347826089
Mumta-LW,1.5 mo.,BEP,up,metabolite,Beta-Alanine Metabolism,6,0.371,1,0.325,1,2.6954177897574123
Mumta-LW,1.5 mo.,BEP,up,metabolite,Histidine Metabolism,6,0.371,1,0.325,1,2.6954177897574123
MISAME-III,3-4 mo.,BEP,down,metabolite,Phenylalanine and Tyrosine Metabolism,3,0.402,1,0.354,1,-2.487562189054726
MISAME-III,3-4 mo.,BEP,down,metabolite,Betaine Metabolism,3,0.402,1,0.354,1,-2.487562189054726
Mumta-LW,2 mo.,BEP,down,metabolite,Purine Metabolism,5,0.412,1,0.356,1,-2.4271844660194177
Mumta-LW,2 mo.,BEP,down,metabolite,Spermidine and Spermine Biosynthesis,5,0.412,1,0.356,1,-2.4271844660194177
ELICIT,5 mo.,Nico,down,metabolite,Glutamate Metabolism,8,0.412,1,0.356,1,-2.4271844660194177
ELICIT,1 mo.,Nico,up,metabolite,Bile Acid Biosynthesis,10,0.412,1,0.358,1,2.4271844660194177
Mumta-LW,1.5 mo.,BEP,up,metabolite,Aspartate Metabolism,7,0.433,1,0.37,1,2.3094688221709005
MISAME-III,1-2 mo.,BEP,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,3,0.433,1,0.377,1,-2.3094688221709005
MISAME-III,1-2 mo.,BEP,down,metabolite,Betaine Metabolism,3,0.433,1,0.377,1,-2.3094688221709005
MISAME-III,1-2 mo.,BEP,down,metabolite,Homocysteine Degradation,3,0.433,1,0.377,1,-2.3094688221709005
MISAME-III,1-2 mo.,BEP,down,metabolite,Fatty Acid Biosynthesis,3,0.433,1,0.377,1,-2.3094688221709005
MISAME-III,1-2 mo.,BEP,down,metabolite,Arginine and Proline Metabolism,9,1.3,2,0.384,1,-1.5384615384615383
ELICIT,1 mo.,Nico,down,metabolite,Warburg Effect,4,0.454,1,0.387,1,-2.202643171806167
ELICIT,5 mo.,Nico,down,metabolite,Arginine and Proline Metabolism,9,0.464,1,0.392,1,-2.155172413793103
MISAME-III,14-21 days,BEP,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,3,0.495,1,0.421,1,-2.0202020202020203
MISAME-III,14-21 days,BEP,down,metabolite,Betaine Metabolism,3,0.495,1,0.421,1,-2.0202020202020203
MISAME-III,14-21 days,BEP,down,metabolite,Fatty Acid Biosynthesis,3,0.495,1,0.421,1,-2.0202020202020203
MISAME-III,3-4 mo.,BEP,down,metabolite,Glutathione Metabolism,4,0.536,1,0.443,1,-1.8656716417910446
Mumta-LW,2 mo.,BEP,up,metabolite,Glycine and Serine Metabolism,11,0.567,1,0.46,1,1.7636684303350971
ELICIT,1 mo.,Nico,down,metabolite,"Valine, Leucine and Isoleucine Degradation",5,0.567,1,0.46,1,-1.7636684303350971
Mumta-LW,2 mo.,BEP,down,metabolite,Ammonia Recycling,7,0.577,1,0.464,1,-1.733102253032929
MISAME-III,1-2 mo.,BEP,down,metabolite,Oxidation of Branched Chain Fatty Acids,4,0.577,1,0.47,1,-1.733102253032929
MISAME-III,1-2 mo.,BEP,down,metabolite,Carnitine Synthesis,4,0.577,1,0.47,1,-1.733102253032929
Mumta-LW,2 mo.,BEP,down,metabolite,Glutamate Metabolism,8,0.66,1,0.511,1,-1.5151515151515151
MISAME-III,14-21 days,BEP,down,metabolite,Glutathione Metabolism,4,0.66,1,0.52,1,-1.5151515151515151
MISAME-III,3-4 mo.,BEP,down,metabolite,Spermidine and Spermine Biosynthesis,5,0.67,1,0.521,1,-1.4925373134328357
Mumta-LW,1.5 mo.,BEP,up,metabolite,Glycine and Serine Metabolism,11,0.68,1,0.524,1,1.4705882352941175
MISAME-III,1-2 mo.,BEP,down,metabolite,"Valine, Leucine and Isoleucine Degradation",5,0.722,1,0.549,1,-1.3850415512465375
Mumta-LW,2 mo.,BEP,down,metabolite,Arginine and Proline Metabolism,9,0.742,1,0.555,1,-1.3477088948787062
ELICIT,1 mo.,Nico,down,metabolite,Glutamate Metabolism,8,0.907,1,0.633,1,-1.1025358324145533
MISAME-III,3-4 mo.,BEP,down,metabolite,Urea Cycle,7,0.938,1,0.647,1,-1.0660980810234542
MISAME-III,1-2 mo.,BEP,down,metabolite,Urea Cycle,7,1.01,1,0.677,1,-0.9900990099009901
ELICIT,1 mo.,Nico,down,metabolite,Arginine and Proline Metabolism,9,1.02,1,0.678,1,-0.9803921568627451
ELICIT,1 mo.,Nico,down,metabolite,Methionine Metabolism,9,1.02,1,0.678,1,-0.9803921568627451
MISAME-III,3-4 mo.,BEP,down,metabolite,Glutamate Metabolism,8,1.07,1,0.698,1,-0.9345794392523364
MISAME-III,1-2 mo.,BEP,down,metabolite,Glutamate Metabolism,8,1.15,1,0.727,1,-0.8695652173913044
MISAME-III,14-21 days,BEP,down,metabolite,Urea Cycle,7,1.15,1,0.729,1,-0.8695652173913044
MISAME-III,3-4 mo.,BEP,down,metabolite,Arginine and Proline Metabolism,9,1.21,1,0.742,1,-0.8264462809917356
ELICIT,1 mo.,Nico,down,metabolite,Glycine and Serine Metabolism,11,1.25,1,0.754,1,-0.8
MISAME-III,14-21 days,BEP,down,metabolite,Glutamate Metabolism,8,1.32,1,0.777,1,-0.7575757575757576
