study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.264,1,0.242,1,3.7878787878787876
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Tryptophan Metabolism,4,0.264,1,0.242,1,3.7878787878787876
ELICIT,5 mo.,Nico,down,Tryptophan Metabolism,4,0.264,1,0.242,1,-3.7878787878787876
ELICIT,5 mo.,Nico+Az.,down,Ammonia Recycling,7,0.264,1,0.242,1,-3.7878787878787876
ELICIT,5 mo.,Nico+Az.,down,Aspartate Metabolism,7,0.264,1,0.242,1,-3.7878787878787876
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Catecholamine Biosynthesis,2,0.264,1,0.248,1,-3.7878787878787876
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Fatty acid Metabolism,2,0.264,1,0.248,1,-3.7878787878787876
MISAME-III,14-21 days,IFA/BEP,down,Methionine Metabolism,9,1.78,3,0.251,1,-1.6853932584269662
MISAME-III,1-2 mo.,BEP/BEP,down,Methionine Metabolism,9,1.78,3,0.251,1,-1.6853932584269662
MISAME-III,14-21 days,BEP/IFA,up,Beta-Alanine Metabolism,6,0.283,1,0.257,1,3.53356890459364
MISAME-III,14-21 days,BEP/IFA,up,Histidine Metabolism,6,0.283,1,0.257,1,3.53356890459364
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,up,Spermidine and Spermine Biosynthesis,5,0.283,1,0.257,1,3.53356890459364
ELICIT,1 mo.,Nico,up,Purine Metabolism,5,0.283,1,0.257,1,3.53356890459364
MISAME-III,14-21 days,BEP/BEP,down,Betaine Metabolism,3,0.283,1,0.259,1,-3.53356890459364
ELICIT,5 mo.,Az.,down,Alanine Metabolism,3,0.283,1,0.259,1,-3.53356890459364
ELICIT,1 mo.,Az.,down,Arginine and Proline Metabolism,9,1.02,2,0.269,1,-1.9607843137254901
ELICIT,1 mo.,Az.,down,Methionine Metabolism,9,1.02,2,0.269,1,-1.9607843137254901
MISAME-III,14-21 days,BEP/IFA,down,Glutamate Metabolism,8,0.302,1,0.273,1,-3.3112582781456954
MISAME-III,3-4 mo.,BEP/IFA,up,Glutamate Metabolism,8,0.302,1,0.273,1,3.3112582781456954
ELICIT,1 mo.,Nico,down,Carnitine Synthesis,4,0.302,1,0.273,1,-3.3112582781456954
ELICIT,1 mo.,Nico,down,Warburg Effect,4,0.302,1,0.273,1,-3.3112582781456954
ELICIT,5 mo.,Az.,down,Glycine and Serine Metabolism,11,1.04,2,0.277,1,-1.923076923076923
Mumta-LW,1.5 mo.,BEP+ExBf,up,Selenoamino Acid Metabolism,2,0.302,1,0.28,1,3.3112582781456954
Mumta-LW,1.5 mo.,BEP+ExBf,up,Amino Sugar Metabolism,2,0.302,1,0.28,1,3.3112582781456954
Mumta-LW,1.5 mo.,BEP+ExBf,up,Pyrimidine Metabolism,2,0.302,1,0.28,1,3.3112582781456954
Mumta-LW,1.5 mo.,BEP+ExBf,up,Nicotinate and Nicotinamide Metabolism,2,0.302,1,0.28,1,3.3112582781456954
Mumta-LW,1.5 mo.,BEP+ExBf,up,Glucose-Alanine Cycle,2,0.302,1,0.28,1,3.3112582781456954
