study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,1-2 mo.,BEP,down,Ketone Body Metabolism,1,0.0358,1,0.0358,0.351,-27.932960893854748
MISAME-III,1-2 mo.,BEP,down,Butyrate Metabolism,1,0.0358,1,0.0358,0.351,-27.932960893854748
MISAME-III,1-2 mo.,BEP,down,Mitochondrial Electron Transport Chain,1,0.0358,1,0.0358,0.351,-27.932960893854748
MISAME-III,1-2 mo.,BEP,down,Phytanic Acid Peroxisomal Oxidation,1,0.0358,1,0.0358,0.351,-27.932960893854748
MISAME-III,1-2 mo.,BEP,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0358,1,0.0358,0.351,-27.932960893854748
ELICIT,5 mo.,Nico,down,Purine Metabolism,6,0.039,1,0.0385,0.557,-25.641025641025642
ELICIT,5 mo.,Nico,down,Tryptophan Metabolism,6,0.039,1,0.0385,0.557,-25.641025641025642
Mumta-LW,2 mo.,BEP,down,Alanine Metabolism,3,0.039,1,0.0386,0.445,-25.641025641025642
Mumta-LW,2 mo.,BEP,down,Homocysteine Degradation,3,0.039,1,0.0386,0.445,-25.641025641025642
MISAME-III,3-4 mo.,BEP,down,Cysteine Metabolism,2,0.0423,1,0.0419,0.586,-23.64066193853428
MISAME-III,3-4 mo.,BEP,down,Taurine and Hypotaurine Metabolism,2,0.0423,1,0.0419,0.586,-23.64066193853428
MISAME-III,1-2 mo.,BEP,up,Beta-Alanine Metabolism,7,0.0455,1,0.0449,0.716,21.978021978021978
Mumta-LW,1.5 mo.,BEP,down,Catecholamine Biosynthesis,4,0.0455,1,0.0449,0.879,-21.978021978021978
Mumta-LW,1.5 mo.,BEP,down,Betaine Metabolism,4,0.0455,1,0.0449,0.879,-21.978021978021978
Mumta-LW,2 mo.,BEP,up,Glutathione Metabolism,4,0.0455,1,0.0449,0.4,21.978021978021978
ELICIT,5 mo.,Nico,down,Beta-Alanine Metabolism,7,0.0455,1,0.0449,0.557,-21.978021978021978
ELICIT,5 mo.,Nico,down,Ammonia Recycling,7,0.0455,1,0.0449,0.557,-21.978021978021978
ELICIT,5 mo.,Nico,down,Urea Cycle,7,0.0455,1,0.0449,0.557,-21.978021978021978
MISAME-III,1-2 mo.,BEP,down,Arginine and Proline Metabolism,10,0.358,2,0.0462,0.412,-5.58659217877095
ELICIT,1 mo.,Nico,down,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,0.0488,1,0.0481,0.428,-20.491803278688522
MISAME-III,1-2 mo.,BEP,up,Histidine Metabolism,8,0.052,1,0.0511,0.716,19.23076923076923
MISAME-III,1-2 mo.,BEP,up,Aspartate Metabolism,8,0.052,1,0.0511,0.716,19.23076923076923
Mumta-LW,2 mo.,BEP,down,Catecholamine Biosynthesis,4,0.052,1,0.0511,0.445,-19.23076923076923
Mumta-LW,2 mo.,BEP,down,Glutathione Metabolism,4,0.052,1,0.0511,0.445,-19.23076923076923
Mumta-LW,2 mo.,BEP,down,Betaine Metabolism,4,0.052,1,0.0511,0.445,-19.23076923076923
ELICIT,5 mo.,Nico,down,Aspartate Metabolism,8,0.052,1,0.0511,0.557,-19.23076923076923
ELICIT,5 mo.,Nico,down,Glutamate Metabolism,8,0.052,1,0.0511,0.557,-19.23076923076923
Mumta-LW,1.5 mo.,BEP,up,Phenylalanine and Tyrosine Metabolism,3,0.0537,1,0.0528,0.398,18.6219739292365
Mumta-LW,1.5 mo.,BEP,up,Amino Sugar Metabolism,3,0.0537,1,0.0528,0.398,18.6219739292365
Mumta-LW,1.5 mo.,BEP,up,Alanine Metabolism,3,0.0537,1,0.0528,0.398,18.6219739292365
Mumta-LW,1.5 mo.,BEP,up,Glucose-Alanine Cycle,3,0.0537,1,0.0528,0.398,18.6219739292365
MISAME-III,14-21 days,BEP,down,Cysteine Metabolism,2,0.0553,1,0.0546,0.315,-18.083182640144663
MISAME-III,14-21 days,BEP,down,Taurine and Hypotaurine Metabolism,2,0.0553,1,0.0546,0.315,-18.083182640144663
MISAME-III,14-21 days,BEP,down,Selenoamino Acid Metabolism,2,0.0553,1,0.0546,0.315,-18.083182640144663
MISAME-III,14-21 days,BEP,down,Methylhistidine Metabolism,2,0.0553,1,0.0546,0.315,-18.083182640144663
MISAME-III,14-21 days,BEP,down,Phosphatidylethanolamine Biosynthesis,2,0.0553,1,0.0546,0.315,-18.083182640144663
Mumta-LW,2 mo.,BEP,up,Alpha Linolenic Acid and Linoleic Acid Metabolism,5,0.0569,1,0.0558,0.421,17.57469244288225
Mumta-LW,2 mo.,BEP,up,Warburg Effect,5,0.0569,1,0.0558,0.421,17.57469244288225
MISAME-III,3-4 mo.,BEP,down,Phenylalanine and Tyrosine Metabolism,3,0.0634,1,0.0622,0.671,-15.772870662460567
Mumta-LW,2 mo.,BEP,down,Spermidine and Spermine Biosynthesis,5,0.065,1,0.0636,0.445,-15.384615384615383
Mumta-LW,2 mo.,BEP,down,Carnitine Synthesis,5,0.065,1,0.0636,0.445,-15.384615384615383
Mumta-LW,2 mo.,BEP,down,Warburg Effect,5,0.065,1,0.0636,0.445,-15.384615384615383
ELICIT,5 mo.,Nico,down,Arginine and Proline Metabolism,10,0.065,1,0.0636,0.624,-15.384615384615383
Mumta-LW,2 mo.,BEP,up,Tryptophan Metabolism,6,0.0683,1,0.0666,0.466,14.641288433382138
Mumta-LW,1.5 mo.,BEP,up,Catecholamine Biosynthesis,4,0.0715,1,0.0698,0.456,13.986013986013987
Mumta-LW,1.5 mo.,BEP,up,Glutathione Metabolism,4,0.0715,1,0.0698,0.456,13.986013986013987
MISAME-III,1-2 mo.,BEP,down,Citric Acid Cycle,2,0.0715,1,0.0703,0.492,-13.986013986013987
MISAME-III,1-2 mo.,BEP,down,Pyruvate Metabolism,2,0.0715,1,0.0703,0.492,-13.986013986013987
MISAME-III,1-2 mo.,BEP,down,Gluconeogenesis,2,0.0715,1,0.0703,0.492,-13.986013986013987
Mumta-LW,2 mo.,BEP,down,Purine Metabolism,6,0.078,1,0.0759,0.496,-12.820512820512821
Mumta-LW,2 mo.,BEP,up,Ammonia Recycling,7,0.0797,1,0.0774,0.505,12.547051442910917
ELICIT,1 mo.,Nico,down,"Valine, Leucine and Isoleucine Degradation",5,0.0813,1,0.0789,0.595,-12.300123001230013
ELICIT,1 mo.,Nico,down,Warburg Effect,5,0.0813,1,0.0789,0.595,-12.300123001230013
MISAME-III,14-21 days,BEP,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.0829,1,0.0808,0.417,-12.062726176115802
MISAME-III,14-21 days,BEP,down,Fatty Acid Biosynthesis,3,0.0829,1,0.0808,0.417,-12.062726176115802
MISAME-III,3-4 mo.,BEP,down,Catecholamine Biosynthesis,4,0.0846,1,0.0821,0.671,-11.82033096926714
MISAME-III,3-4 mo.,BEP,down,Glutathione Metabolism,4,0.0846,1,0.0821,0.671,-11.82033096926714
MISAME-III,3-4 mo.,BEP,down,Arachidonic Acid Metabolism,4,0.0846,1,0.0821,0.671,-11.82033096926714
MISAME-III,3-4 mo.,BEP,down,Betaine Metabolism,4,0.0846,1,0.0821,0.671,-11.82033096926714
Mumta-LW,1.5 mo.,BEP,up,Tyrosine Metabolism,5,0.0894,1,0.0866,0.499,11.185682326621924
Mumta-LW,1.5 mo.,BEP,up,Warburg Effect,5,0.0894,1,0.0866,0.499,11.185682326621924
Mumta-LW,2 mo.,BEP,down,Ammonia Recycling,7,0.0911,1,0.088,0.539,-10.97694840834248
Mumta-LW,2 mo.,BEP,up,Aspartate Metabolism,8,0.0911,1,0.088,0.539,10.97694840834248
ELICIT,1 mo.,Nico,up,Bile Acid Biosynthesis,15,0.0976,1,0.0943,1,10.245901639344261
Mumta-LW,2 mo.,BEP,down,Glutamate Metabolism,8,0.104,1,0.1,0.576,-9.615384615384615
MISAME-III,3-4 mo.,BEP,down,Spermidine and Spermine Biosynthesis,5,0.106,1,0.102,0.766,-9.433962264150944
Mumta-LW,1.5 mo.,BEP,up,Purine Metabolism,6,0.107,1,0.103,0.531,9.345794392523365
Mumta-LW,1.5 mo.,BEP,up,Tryptophan Metabolism,6,0.107,1,0.103,0.531,9.345794392523365
MISAME-III,1-2 mo.,BEP,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.107,1,0.104,0.598,-9.345794392523365
MISAME-III,1-2 mo.,BEP,down,Homocysteine Degradation,3,0.107,1,0.104,0.598,-9.345794392523365
MISAME-III,1-2 mo.,BEP,down,Fatty Acid Biosynthesis,3,0.107,1,0.104,0.598,-9.345794392523365
MISAME-III,14-21 days,BEP,down,Catecholamine Biosynthesis,4,0.111,1,0.106,0.453,-9.00900900900901
MISAME-III,14-21 days,BEP,down,Glutathione Metabolism,4,0.111,1,0.106,0.453,-9.00900900900901
MISAME-III,14-21 days,BEP,down,Arachidonic Acid Metabolism,4,0.111,1,0.106,0.453,-9.00900900900901
MISAME-III,14-21 days,BEP,down,Betaine Metabolism,4,0.111,1,0.106,0.453,-9.00900900900901
Mumta-LW,1.5 mo.,BEP,up,Beta-Alanine Metabolism,7,0.125,1,0.119,0.584,8
Mumta-LW,2 mo.,BEP,down,Arginine and Proline Metabolism,10,0.13,1,0.124,0.673,-7.692307692307692
ELICIT,1 mo.,Nico,down,Glutamate Metabolism,8,0.13,1,0.124,0.865,-7.692307692307692
Mumta-LW,1.5 mo.,BEP,up,Histidine Metabolism,8,0.143,1,0.135,0.602,6.993006993006993
Mumta-LW,1.5 mo.,BEP,up,Aspartate Metabolism,8,0.143,1,0.135,0.602,6.993006993006993
MISAME-III,1-2 mo.,BEP,down,Catecholamine Biosynthesis,4,0.143,1,0.136,0.634,-6.993006993006993
MISAME-III,1-2 mo.,BEP,down,Oxidation of Branched Chain Fatty Acids,4,0.143,1,0.136,0.634,-6.993006993006993
MISAME-III,1-2 mo.,BEP,down,Arachidonic Acid Metabolism,4,0.143,1,0.136,0.634,-6.993006993006993
MISAME-III,1-2 mo.,BEP,down,Betaine Metabolism,4,0.143,1,0.136,0.634,-6.993006993006993
MISAME-III,3-4 mo.,BEP,down,Urea Cycle,7,0.148,1,0.14,0.977,-6.756756756756757
Mumta-LW,2 mo.,BEP,up,Glycine and Serine Metabolism,13,0.148,1,0.14,0.804,6.756756756756757
ELICIT,1 mo.,Nico,down,Arginine and Proline Metabolism,10,0.163,1,0.152,0.995,-6.134969325153374
MISAME-III,3-4 mo.,BEP,down,Glutamate Metabolism,8,0.169,1,0.158,1,-5.9171597633136095
ELICIT,1 mo.,Nico,down,Methionine Metabolism,11,0.179,1,0.166,1,-5.58659217877095
MISAME-III,1-2 mo.,BEP,down,"Valine, Leucine and Isoleucine Degradation",5,0.179,1,0.167,0.712,-5.58659217877095
MISAME-III,1-2 mo.,BEP,down,Carnitine Synthesis,5,0.179,1,0.167,0.712,-5.58659217877095
MISAME-III,14-21 days,BEP,down,Sphingolipid Metabolism,7,0.193,1,0.179,0.702,-5.181347150259067
MISAME-III,14-21 days,BEP,down,Urea Cycle,7,0.193,1,0.179,0.702,-5.181347150259067
MISAME-III,3-4 mo.,BEP,down,Arginine and Proline Metabolism,10,0.211,1,0.194,1,-4.739336492890995
ELICIT,1 mo.,Nico,down,Glycine and Serine Metabolism,13,0.211,1,0.194,1,-4.739336492890995
MISAME-III,14-21 days,BEP,down,Glutamate Metabolism,8,0.221,1,0.202,0.761,-4.524886877828054
Mumta-LW,1.5 mo.,BEP,up,Glycine and Serine Metabolism,13,0.233,1,0.211,0.899,4.291845493562231
MISAME-III,1-2 mo.,BEP,down,Sphingolipid Metabolism,7,0.25,1,0.226,0.886,-4
MISAME-III,1-2 mo.,BEP,down,Urea Cycle,7,0.25,1,0.226,0.886,-4
MISAME-III,1-2 mo.,BEP,down,Glutamate Metabolism,8,0.286,1,0.254,0.958,-3.4965034965034967
