exhibit,kind,path,generator,depends,exists,bytes,mtime,notes
Fig S4,figure,figures/figureS4_triglyceride_means.png,figure-scripts/manuscript_figures/figS4-triglyceride-means.R,data/merged_analysis_datasets.RDS;results/adjusted_intervention_effects_results_clean.RDS;results/fat_adjusted_metabolomics_intervention_effects_results.RDS,TRUE,1148140,2026-09-08T12:46:42,"SUBMITTED Fig. S4 (aee9284 v2). Renamed from figureS5_triglyceride_means on 2026-09-08. PROMOTED 2026-08-25 (was STATIC, the submitted image at Manuscript/qmd/extracted/media_supplement/media/image5.png). Same situation as Fig S1 above -- comparison preserved in Manuscript/figure_comparison/"
Fig S5,figure,figures/figureS5_microbiome_diversity.png,figure-scripts/manuscript_figures/figS5-microbiome-diversity.R,results/microbiome_diversity_intervention_effects_results.RDS,TRUE,106243,2026-09-23T08:17:54,"SUBMITTED Fig. S5 (aee9284 v2). Renamed from figureS6_microbiome_diversity on 2026-09-08. PROMOTED 2026-08-25 (was STATIC, the submitted image at Manuscript/qmd/extracted/media_supplement/media/image6.png). Same situation as Fig S1 above -- comparison preserved in Manuscript/figure_comparison/"
(retired) Fig S7,figure,archive/figures/cross_compartment/fig_blood_transfer_supplement.png,src/2 analysis/45-figure-blood-transfer-supplement.R,results/blood_compartment_all_FDRsig_ATE.csv,TRUE,290406,2026-08-27T05:56:58,"DELETED 2026-08-26, not renumbered."
(retired) Fig S8,figure,figures/appendix_blood_class_enrichment.png,figure-scripts/manuscript_figures/appendix-blood-class-enrichment.R,results/blood_chemical_class_enrichment_directional.csv,TRUE,236882,2026-09-08T12:47:08,""
Online Appendix: primary ORA by direction,figure,figures/appendix_primary_ora_by_direction.png,figure-scripts/manuscript_figures/appendix-ora-by-direction.R,results/metaboanalyst/primary_combined/primary_ora_upregulated.csv,TRUE,441810,2026-09-08T14:48:20,Not in the printed supplement; Zenodo online appendix only (10.5281/zenodo.22104233)
Online Appendix: tertiary ORA by direction,figure,figures/appendix_tertiary_ora_by_direction.png,figure-scripts/manuscript_figures/appendix-ora-by-direction.R,results/metaboanalyst/tertiary_combined/tertiary_ora_upregulated.csv,TRUE,863333,2026-09-08T14:48:24,Not in the printed supplement; Zenodo online appendix only (10.5281/zenodo.22104233)
(retired) Fig S10,figure,figures/cross_compartment/appendix_compartment_tracking.png,figure-scripts/manuscript_figures/appendix-compartment-tracking.R,results/supplement_status_fdr_features.csv;results/compartment_tracking/metabolite_pathways_trenton.csv,TRUE,280028,2026-09-08T12:58:46,"Not cited in manuscript_v4.qmd or supplement_v2.qmd -- fully subsumed by Table S8 (feature list) + Table S11 (pathways) + compartment_tracking_counts.csv (Results-text counts). Still built (two-pass, see script header) because it emits the Table S11 query list; kept out of the manuscript's numbered figure set on purpose. Still shown as an online-only bonus figure in IMiC-intervention-effects-supplement's 10_cross_compartment_blood.Rmd (§10.5)"
Online Appendix: cross-compartment volcanoes,figure,figures/cross_compartment/appendix_crosscompartment_volcanoes.png,figure-scripts/manuscript_figures/appendix-crosscompartment-volcanoes.R,results/blood_compartment_adjusted_combined_arms_intervention_effects_results_clean.RDS;results/adjusted_combined_arms_intervention_effects_untargeted_results_clean_ATE.RDS;results/supplement_status_fdr_features.csv,TRUE,620809,2026-09-08T14:47:15,Not in the printed supplement; Zenodo online appendix only (10.5281/zenodo.22104233). Renamed from figureS11_crosscompartment_volcanoes on 2026-09-08.
(retired) Fig S10 individual-protein,figure,archive/figures/figureS10_proteomics_individual.png,figure-scripts/manuscript_figures/figS10-proteomics-individual.R,results/adjusted_combined_arms_intervention_effects_proteomics_results_clean.RDS,TRUE,264870,2026-08-27T05:56:58,"DELETED 2026-08-26, not renumbered. Was the individual-protein plot (distinct from the retired compartment-tracking exhibit above, which also used to carry the 'Fig S10' slot at an earlier point)."
Table S2,table,results/metaboanalyst/primary_pathway_local/primary_pathway_all_cells.csv,src/metaboanalyst/run-primary-pathway-local.R,results/combined_intervention_effects_results_combined_arms.RDS,TRUE,2835,2026-09-08T13:58:43,"CORRECTED 2026-08-26: previously pointed at primary_combined/primary_combined_supplementary_table.csv (run-primary.R), an ORA-module file (SMPDB names, no Impact column, ~438 rows) that is not the printed Table S1. The printed Table S1 is the KEGG pathway-topology (pathora) run -- the SAME run that produces Fig. 3B -- and was a frozen hand-pasted transcription of Trenton's submitted MetaboAnalyst web exports. Per author decision it was regenerated 2026-08-26 from the current pipeline (run-primary-pathway-local.R -> primary_pathway_all_cells.csv, with metabolite hit membership in the sibling primary_pathway_hits_all_cells.csv); a few borderline pathways shift across FDR 0.05 vs the submitted version (current KEGG metpa library). supplement_v2.qmd Table S1 is now a script-regenerable pipe table, not frozen text."
Table S3,table,results/metaboanalyst/tertiary_msea/tertiary_msea_dual.csv,src/metaboanalyst/run-tertiary-msea-dual.R,"",TRUE,51449,2026-09-08T14:45:03,"EXTERNALIZED 2026-08-26: the 463-row table was removed from supplement_v2.qmd (Editor SS3.14, same treatment as Table S7) and replaced with a caption + pointer to results/tables/table_s3_tertiary_msea_full.csv (written by src/pipeline/rebuild-submission-tables.R) for the Zenodo Online Appendix. CORRECTED 2026-08-26: this row previously pointed at tertiary_combined_supplementary_table.csv (run-secondary-tertiary.R), which is neither the printed table nor Fig 5B's source and was never actually verified. The printed Table S2 was a stale, undocumented web export (Trenton's original MetaboAnalyst downloads via run-tertiary-msea-from-tables.R) that disagreed with Fig 5B's own local re-implementation with no note explaining why. Per author decision, Table S2 was regenerated from tertiary_msea_dual.csv (the same source Fig 5B uses) so table and figure agree -- see src/pipeline/rebuild-submission-tables.R for the exact recipe (463 rows, unfiltered, sorted by P, matching Table S1's convention)."
Table S4,table,results/metaboanalyst/triglyceride_fa/triglyceride_fa_composition_combined.csv;results/metaboanalyst/triglyceride_fa/triglyceride_fa_composition_stratified.csv,figure-scripts/manuscript_figures/fig5C-triglyceride.R,"",TRUE,80359,2026-08-26T21:26:54,"CORRECTED 2026-08-26: the printed table mixes combined-arm ELICIT/Mumta-LW rows with stratified-arm MISAME-III rows, but only the combined-arm half had ever been (re)built from this script -- the MISAME-III rows had drifted from current data (up to 272x P-value drift, 14 rows absent from a current re-run) and 16 rows had alpha-/gamma-linolenic acid names swapped (this script's own fatty_acid_name output was and is correct; only the printed table had it backwards). fig5C-triglyceride.R now supports both arm framings via IMIC_TG_ARM_FRAMING=combined|stratified (env var, default combined) and writes a companion CSV named accordingly; Table S3 is the P<0.05 union of both, sorted by P -- see src/pipeline/rebuild-submission-tables.R for the exact recipe (44 rows)."
Table S5,table,results/metaboanalyst/untargeted_msea/untargeted_msea_combined_perContrastFDRsig_tableS4.csv,src/metaboanalyst/run-untargeted-msea.R,"",TRUE,6267,2026-09-08T12:58:04,"VERIFIED 2026-08-26: re-running this script reproduces the printed Table S4 row-for-row (330-row combined output, 68-row FDR-significant artifact, all.equal() TRUE) and Fig 6A re-renders byte-identical. The old note here claiming Table S4 was a web-export-only, non-byte-matching table is superseded -- this is now the local scripted source of truth, same as the other supplementary tables."
Table S6,table,results/metaboanalyst/mummichog_s5/milk_mummichog_tableS5.csv,src/metaboanalyst/run-milk-mummichog-s5.R,results/adjusted_intervention_effects_res_untargeted_metabolomics_clean_ATE.RDS;results/adjusted_combined_arms_intervention_effects_untargeted_results_clean_ATE.RDS,TRUE,1153506,2026-08-26T16:03:57,"EXTERNALIZED 2026-08-26: the 505-row printed table (raw P < 0.05 of this file) was removed from supplement_v2.qmd (Editor SS3.14, same treatment as Table S7) and replaced with a caption + pointer to results/tables/table_s6_mummichog_full.csv (written by src/pipeline/rebuild-submission-tables.R) for the Zenodo Online Appendix."
Table S7,table,results/metaboanalyst/proteomics_go/proteomics_go_tableS6.csv,src/metaboanalyst/run-proteomics-go.R,results/proteomics_go_uniprot.csv,TRUE,27042,2026-08-26T21:39:17,"EXTERNALIZED 2026-08-26: the inline table was removed from supplement_v2.qmd (Editor SS3.14) and replaced with a caption + pointer to results/tables/table_s7_proteomics_go_full.csv (this 182-row scripted output; written by src/pipeline/rebuild-submission-tables.R) for the Zenodo Online Appendix. NOTE the previously-inline qmd table had ~510 rows and predated the 2026-08-12 proteomics regeneration -- externalizing to this canonical artifact also drops that stale row set; the FDR-significant down GO-BP counts driving Fig 6C (27 MISAME-III / 58 Mumta-LW) are unchanged. RESOLVED 2026-08-26: manuscript now matches this scripted output (31->27, 65->58 down GO-BP terms), superseding the frozen Manuscript/Table_S6_proteomics_GO.xlsx (Trenton's 2026-08-10 approved run, 31/65) after the underlying proteomics effect estimates were regenerated 2026-08-12 (background grew ~1,196/1,555 -> 1,320/1,681 proteins, matching the individual-protein-analysis counts already cited elsewhere in the manuscript -- see the pre-submission audit for the full diagnosis). The scripted output IS now the source of truth for Table S6 and Fig 6C; re-running this two-hop chain (55-proteomics-go-uniprot.R writes the depends file above, then run-proteomics-go.R writes the Table S6 CSV) should reproduce the manuscript. If it drifts again, it means the upstream proteomics effect estimates changed again -- diagnose there, not here."
Table S1,table,results/tables/table_s1_primary_secondary_native_units.csv,src/3 visualizations/build_table_s1.R,results/adjusted_combined_arms_intervention_effects_unscaled_results_clean.RDS,TRUE,287317,2026-08-26T14:50:32,"Corrected 2026-08-25: previously misattributed to src/2 analysis/clean_results.R, which is a genuine upstream dependency (it writes the depends RDS above) but not the table's actual writer -- see Manuscript/CODE_AUDIT_2026-08-25.md #2"
Table S1 companion (tertiary),table,results/tables/targeted_metabolites_native_units.csv,src/3 visualizations/build_table_tertiary_native_units.R,results/adjusted_combined_arms_intervention_effects_unscaled_results_clean.RDS;results/adjusted_combined_arms_intervention_effects_results_clean.RDS,TRUE,1054738,2026-09-23T11:31:36,"NEW 2026-09-23 (round-2 Reviewer 1, point 4e): native-unit effects for all 581 targeted metabolites incl. every triglyceride species; named in the Table S1 legend."
Table S8,table,results/table_s8_cross_compartment.csv,src/2 analysis/46-build-table-s8-cross-compartment.R,results/cross_compartment_proteome_overlap.csv,TRUE,704,2026-09-23T07:45:21,"TOP-LEVEL SPRAWL: should move to results/tables/table_s8_cross_compartment.csv. FIXED 2026-08-26: Panel C (GPX3/SELENOP milk values) had drifted stale -- its input, results/cross_compartment_proteome_overlap.csv, was dated 2026-08-04, before the 2026-08-12 proteomics-RDS regeneration (same root cause as the Table S6/Mumta-LW fixes). Panel C read +0.64/+0.63 SD where the manuscript's already-correct printed table (and the individual-protein Results paragraph) says +0.69/+0.70. Re-ran 13-cross-compartment- proteome-overlap.R then this script; both now reproduce the printed values exactly. The printed qmd table itself was never wrong -- only this artifact chain had gone stale."
Table S9,table,results/blood_chemical_class_enrichment_directional.csv,src/2 analysis/52-blood-class-enrichment-direction-sensitivity.R,"",TRUE,16229,2026-08-26T21:47:48,TOP-LEVEL SPRAWL: should move to results/tables/table_s9_blood_class_enrichment.csv
Table S10,table,results/tables/table_s10_temporal_persistence.csv,src/2 analysis/57-table-s10-temporal-persistence.R,results/blood_compartment_all_FDRsig_ATE.csv,TRUE,676,2026-08-16T14:21:28,""
Table S11,table,results/tables/table_s11_compartment_pathway.csv,src/metaboanalyst/run-compartment-pathway-trenton.R,results/compartment_tracking/trenton_pathway_compound_list.csv,TRUE,1220,2026-09-08T12:59:10,""
Table S11 support,data,results/tables/compartment_tracking_counts.csv,figure-scripts/manuscript_figures/appendix-compartment-tracking.R,"",TRUE,248,2026-09-08T12:58:44,""
Compartment tracking,data,results/compartment_tracking/trenton_linked_crosscompartment.csv,src/metaboanalyst/run-compartment-pathway-trenton.R,results/supplement_status_fdr_features.csv,TRUE,18051,2026-09-08T12:58:57,"Trenton's name-based grouping, >=2 compartments (Fig 6D's rule); the earlier union-find version (run-compartment-pathway.R, linked_upregulated_plot_data.csv) is superseded and kept only as appendix-compartment-tracking.R's GROUPING='union-find' sensitivity view, not a manuscript artifact"
Supplement detection,data,results/supplement_status_fdr_features.csv,src/2 analysis/54-supplement-detection-status.R,"",TRUE,263139,2026-09-08T12:58:09,TOP-LEVEL SPRAWL: should move to results/compartment_tracking/
