"agedays","fat_cutoff","protein_cutoff","carbohydrate_cutoff","kcal.l_cutoff","na_cutoff","mg_cutoff","p_cutoff","k_cutoff","ca_cutoff","cr_cutoff","fe_cutoff","cu_cutoff","zn_cutoff","mo_cutoff","as_cutoff","mn_cutoff","se_cutoff","g.tocopherol_cutoff","a.tocopherol_cutoff","vitamin.A_cutoff","b12_cutoff","tpp_cutoff","tmp_cutoff","t_cutoff","b1_cutoff","ribo_cutoff","fmn_cutoff","fad_cutoff","b2_cutoff","nam_cutoff","nad_cutoff","nmn_cutoff","nr_cutoff","b3_cutoff","nufa_cutoff","pa_cutoff","pl_cutoff","pm_cutoff","pn_cutoff","plp_cutoff","b6_cutoff","bio_cutoff","trp_cutoff"
21,-0.322874227199623,0.933688396793425,6.95640326234303,308.63175349478,173.775174046313,22.043886929506,97.0760793163003,566.936059091334,231.787650012199,-44.3850800375767,-158.149461334012,-2334.63605983082,1016.82019853652,-14.9631856687915,-0.601427760140435,6.51785915671138,12.7750155776866,-0.384302612224103,-1.52000637109974,-0.0775073557621133,-143.76961582982,-5.16115278739104,40.1553457227048,-18.1940299720307,80.8451667620534,-273.42683360355,10.8826277766183,43.4084381260292,-174.96758198072,-125.814636277541,-565.0606408745,359.055053118904,-581.643200131244,452.724231564454,26.978263320955,-27.8940388237334,-154.654737657933,-1.50900889722548,-81.1123020850846,11.0254203067566,-200.886282814887,-8.55771866414311,4.88639699696114
22,-0.315066845826651,0.926156858309766,6.95242327744417,309.031205754097,170.302093651636,22.078675331495,97.0701221526392,563.772013848687,231.456120618812,-44.4039044606747,-158.186859938061,-2335.73317844327,983.882753001305,-14.9772685862316,-0.60172906216762,6.30155246094805,12.6694452048711,-0.384174160367419,-1.51444826969697,-0.0769247929462834,-143.489005634099,-5.15868559998948,39.8439799887399,-18.0711847544874,80.7303045512938,-273.33605291609,10.5012165423366,43.3958025909062,-174.92116996082,-125.425316884271,-562.883405968303,357.333882695103,-582.166735365185,452.635166393424,26.8799893077296,-31.5390142466258,-154.642534654581,-1.50816279025629,-81.1326006602528,10.7333788314672,-200.905716585739,-8.5679941014103,4.53553876482613
23,-0.307268127183203,0.918638652586832,6.94845509228647,309.430339312056,166.834393247639,22.1134442221957,97.0641650373558,560.6149806927,231.12459107532,-44.4227288979343,-158.224258462713,-2336.83029742839,951.027748856252,-14.9913514801586,-0.602030364288608,6.08583705843353,12.5640512531148,-0.384045703922203,-1.5088901871642,-0.0763423555239708,-143.208395903449,-5.15621842117439,39.5326141918904,-17.9483395574294,80.6154423009525,-273.245272259581,10.120849717708,43.3831669781966,-174.874758062523,-125.035997333906,-560.706173073385,355.612713586088,-582.690271668287,452.546101088071,26.7817144685304,-35.1840674474752,-154.630332633236,-1.50731668266641,-81.1528992372505,10.4421451820339,-200.925151174388,-8.57826955539392,4.1846805524192
24,-0.299478894870685,0.911135048616784,6.94449982978907,309.829123929651,163.372584926435,22.1481917457981,97.0582079750538,557.46562691567,230.793061367442,-44.4415533507035,-158.261656900411,-2337.92741682166,918.263031038554,-15.0054343483333,-0.602331666512327,5.870769216572,12.4588505134483,-0.383917242451562,-1.50333212529676,-0.0757600554231042,-142.9277866821,-5.15375125176188,39.22124832617,-17.8254943828058,80.5005800072629,-273.15449163697,9.74162668324657,43.3705312805162,-174.828346297412,-124.646677611501,-558.528942381162,353.891545917064,-583.21380914224,452.457035635636,26.6834387247617,-38.8292058285861,-154.618131687385,-1.50647057439682,-81.1731978162521,10.1517962269918,-200.944586658693,-8.58854502768481,3.83382236162367
25,-0.291699972490498,0.903647315391786,6.94055861287113,310.227529367876,159.91718078014,22.1829160464924,97.0522509703369,554.324619809897,230.461531480897,-44.4603778203305,-158.2990552436,-2339.02453665857,885.596444485415,-15.0195171885168,-0.602632968847705,5.65640520276774,12.3538597769021,-0.3837887755186,-1.49777408588998,-0.0751779045716111,-142.647178014279,-5.15128409256809,38.9098823855926,-17.7026492325653,80.385717666458,-273.063711051206,9.36364681946641,43.3578954904811,-174.781934677072,-124.257357702107,-556.35171408305,352.170379813234,-583.737347888736,452.367970023359,26.5851619978285,-42.4744367922667,-154.605931910519,-1.50562446538852,-81.1934963974315,9.86240883487612,-200.964023116513,-8.59882051987376,3.48296419432256
26,-0.283932183644052,0.896176721904002,6.93663256445178,310.625525387728,156.468692900866,22.2176152684686,97.0462940278088,551.192626667681,230.130001401405,-44.4792023081635,-158.336453484726,-2340.1216569746,853.035834134037,-15.0335999984701,-0.602934271303669,5.442801284425,12.2490958345066,-0.383660302686426,-1.49221607073921,-0.07459591489742,-142.366569944216,-5.14881694440916,38.598516364172,-17.579804108657,80.2708552747712,-272.972930505237,8.98700950688162,43.3452596007074,-174.735523213085,-123.868037590779,-554.174488370464,350.449215399801,-584.260888009467,452.27890423848,26.4868842091353,-46.1197677408218,-154.593733396125,-1.5047783555825,-81.213794980963,9.57405987422199,-200.983460625707,-8.60909603355161,3.13210605239897
27,-0.27617635193275,0.888724537145595,6.93272280745018,311.023081750199,153.027633380726,22.2522875559169,97.0403371520732,548.070314781321,229.798471114683,-44.4980268155506,-158.373851616232,-2341.21877780525,820.589044921618,-15.0476827759542,-0.603235573889149,5.23001372894798,12.1445754772924,-0.383531823518144,-1.48665808163978,-0.074014098328459,-142.08596251614,-5.14634980810122,38.287150255922,-17.4569590130298,80.1559928284357,-272.88215000201,8.61181412600626,43.332623603811,-174.689111917036,-123.47871726257,-551.997265434821,348.728052801969,-584.784429606124,452.189838268239,26.3886052800867,-49.7652060765568,-154.581536237692,-1.50393224491976,-81.2340935670207,9.28682621356455,-201.002899264135,-8.61937157030916,2.78124793773566
28,-0.268433300957994,0.881292030108727,6.92883046478546,311.420168216285,149.594514311834,22.2869310530274,97.0343803477338,544.958351443115,229.466940606452,-44.5168513438399,-158.411249630564,-2342.31589918599,788.263921785358,-15.0617655187302,-0.603536876613072,5.01809880374095,12.0403154962899,-0.38340333757686,-1.48110012038702,-0.0734324667926559,-141.805355774278,-5.14388268446038,37.9757840548565,-17.3341139476327,80.0411303236846,-272.791369544474,8.23816005735441,43.319987492408,-174.642700800508,-123.089396702535,-549.820045467536,347.006892144941,-585.307972780399,452.100772099876,26.2903251320872,-53.4107592017781,-154.569340528709,-1.50308613334129,-81.2543921557789,9.00078472143895,-201.022339109655,-8.62964713173722,2.43038985221619
29,-0.260703854321195,0.873880469785563,6.92495665937679,311.81675454698,146.169847786305,22.3215439039901,97.0284236193942,541.857403945365,229.13540986243,-44.5356758943797,-158.448647520167,-2343.41302115231,756.068309662464,-15.075848224559,-0.603838179484367,4.80711277620816,11.9363326825297,-0.383274844425681,-1.47554218877628,-0.072851032217939,-141.52474976286,-5.1414155743028,37.6644177549893,-17.2112689144145,79.9262677567512,-272.700589135577,7.86614668144013,43.3073512591144,-174.596289875085,-122.700075895725,-547.642828660026,345.285733553921,-585.831517633982,452.011705720631,26.1920436865413,-57.0564345187913,-154.557146362664,-1.50224002078809,-81.2746907474116,8.71601226638034,-201.041780240127,-8.63992271942661,2.07953179772335
30,-0.252988835623751,0.866491125168265,6.92110251414329,312.21281050328,142.75414589625,22.3561242529952,97.0224669716583,538.768139580367,228.803878868336,-44.5545004685181,-158.486045277485,-2344.5101437397,724.010053490127,-15.0899308912017,-0.604139482511962,4.59711191375381,11.8326438270423,-0.383146343627712,-1.4699842886029,-0.0722698065322365,-141.244144526113,-5.13894847844459,37.3530513503342,-17.0884239153242,79.8114051238688,-272.609808778266,7.49587337877755,43.2947148965462,-174.549879152351,-122.310754827196,-545.465615203706,343.564577154111,-586.355064268566,451.922639117744,26.0937608648541,-60.7022394299029,-154.544953833047,-1.50139390720115,-81.294989342093,8.4325857169239,-201.06122273341,-8.65019833496816,1.72867377614034
