priority,platform,feature_id,ion_mode,mz,rt,our_putative_name,n_mass_candidates,BEP_direction,significant_in_both,SAPIENT_identity,MSI_confidence_level,SAPIENT_notes
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_5310734,positive,805.6159,0.364,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_6168032,positive,811.6669,0.413,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_3064492,positive,207.1119,0.217,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_1643242,negative,135.0293,0.134,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_3642764,negative,285.9879,0.269,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_4908200,negative,313.2369,0.372,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_1261959,negative,363.0727,0.097,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_5041133,negative,277.2179,0.372,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_1203490,negative,147.0296,0.101,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_2728271,positive,310.2037,0.176,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_1203388,negative,129.0192,0.101,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_1618922,negative,129.0191,0.128,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_2677857,positive,203.1384,0.188,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_2996661,positive,186.1349,0.196,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_5086958,negative,278.2209,0.372,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_7715155,negative,135.0283,0.568,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_4683342,negative,359.242,0.341,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_1483668,negative,57.0349,0.101,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_3954258,positive,548.377,0.275,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_990012,positive,203.1385,0.07,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_2999427,positive,310.2026,0.234,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_10261,negative,305.0226,0.008,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_5675900,negative,366.2682,0.42,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_10440591,negative,283.2636,0.723,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_5412518,positive,655.554,0.366,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_6362744,negative,773.4456,0.469,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_1203190,negative,87.0089,0.081,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_2294965,negative,201.0266,0.169,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_6996911,negative,821.5179,0.51,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_5994773,positive,655.5652,0.403,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_7625164,negative,287.9936,0.55,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_2365407,positive,311.1948,0.157,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_3612744,negative,429.088,0.275,,,down (BEP lowers),milk & maternal plasma,"","",""
