ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,studytime,contrast,direction,study,timepoint,signed_fold_enrichment,description_sentence
GO:0061077,chaperone-mediated protein folding,12/179,23/1207,0.521739130434783,3.51809570075298,5.08585425437793,2.43061516069112e-05,0.00260561945226088,0.00249543156497622,Q15185/P17987/Q99832/P04792/P48643/P49368/P50990/P50991/Q12931/P08238/P11142/Q02790,12,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-3.51809570075298,Chaperone-mediated protein folding
GO:0033044,regulation of chromosome organization,9/179,14/1207,0.642857142857143,4.33479648842777,5.23500069383638,2.94975425698056e-05,0.00279012049719102,0.0026721303269118,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/P28482,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-4.33479648842777,Regulation of chromosome organization
GO:0071897,DNA biosynthetic process,9/179,14/1207,0.642857142857143,4.33479648842777,5.23500069383638,2.94975425698056e-05,0.00279012049719102,0.0026721303269118,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/P08238,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-4.33479648842777,DNA biosynthetic process
GO:0051054,positive regulation of DNA metabolic process,11/179,21/1207,0.523809523809524,3.53205639797819,4.88252290868244,5.20094225298702e-05,0.00464617507933507,0.00444969503866667,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/Q15819/P28482/P12429,11,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-3.53205639797819,Positive regulation of DNA metabolic process
GO:0006412,translation,37/179,139/1207,0.266187050359712,1.79490374181102,4.15565922605782,8.0533693299046e-05,0.00681569362236137,0.00652746777265952,Q04637/P41250/P46782/P60228/P04792/P61247/P62424/P62829/Q12931/Q9Y3U8/O00303/P36578/P62841/Q14152/Q9P2E9/P46781/P47914/P23381/P46783/P49207/P62280/P26373/P18077/Q02543/O43776/P05198/P42766/P60866/Q96L21/Q9UQ80/P50914/P54577/P62888/Q07020/P13639/P21399/P63220,37,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.79490374181102,Translation
GO:0006458,'de novo' protein folding,9/179,17/1207,0.529411764705882,3.56983240223464,4.45101843225398,0.000238251208115674,0.0191553971325002,0.0183453430249069,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P62942/P11142,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-3.56983240223464,'de novo' protein folding
GO:0035036,sperm-egg recognition,7/179,11/1207,0.636363636363636,4.29101066531234,4.5736576617504,0.000275628933044215,0.0211053011588142,0.0202127884232424,P17987/Q99832/P48643/P49368/P50990/P50991/P04075,7,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-4.29101066531234,Sperm-egg recognition
GO:0022613,ribonucleoprotein complex biogenesis,19/179,58/1207,0.327586206896552,2.20891928337507,3.93599827598705,0.000334900344621587,0.0244781706432505,0.0234430241235111,Q15185/P46782/P60228/P61247/P62424/O00303/P07900/P62841/Q14152/P46781/P62280/P08238/P18077/Q9Y3F4/P42766/Q96L21/Q9UQ80/P50914/P63220,19,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.20891928337507,Ribonucleoprotein complex biogenesis
GO:0042594,response to starvation,11/179,25/1207,0.44,2.96692737430168,4.14527362082186,0.000379737416845038,0.0265485985342096,0.025425896606146,P24298/P11234/P63104/Q9NR31/P21964/Q9Y6B6/P61981/P11142/P28482/P05198/P54577,11,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.96692737430168,Response to starvation
GO:0009165,nucleotide biosynthetic process,11/179,26/1207,0.423076923076923,2.85281478298238,3.98379832242018,0.000573980681049059,0.0369184374050755,0.0353572099526221,P41250/P22392/P30085/P06576/P07741/P11586/P43490/P48163/P04075/O60266/P22234,11,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.85281478298238,Nucleotide biosynthetic process
GO:0051052,regulation of DNA metabolic process,11/179,26/1207,0.423076923076923,2.85281478298238,3.98379832242018,0.000573980681049059,0.0369184374050755,0.0353572099526221,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/Q15819/P28482/P12429,11,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.85281478298238,Regulation of DNA metabolic process
GO:0031647,regulation of protein stability,18/179,56/1207,0.321428571428571,2.16739824421389,3.73146179615074,0.000631265121050724,0.039041319794214,0.0373903187083891,Q15185/P45974/P63104/P17987/P42574/Q99832/P48643/P49368/P50148/P50990/P50991/P62829/P07900/P08238/P11142/P28482/Q9BUL8/Q9P2X0,18,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.16739824421389,Regulation of protein stability
GO:0099504,synaptic vesicle cycle,10/179,23/1207,0.434782608695652,2.93174641729415,3.90159148114861,0.000798624740153651,0.0475625400802619,0.0455511888828379,Q13277/P54920/O00161/P20339/P42574/O75787/Q15833/P15313/P52565/P51149,10,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.93174641729415,Synaptic vesicle cycle
GO:0051084,'de novo' post-translational protein folding,8/179,16/1207,0.5,3.37150837988827,3.98320250369468,0.000893373023795713,0.0513051365094109,0.0491355163087642,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P11142,8,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-3.37150837988827,'de novo' post-translational protein folding
GO:0006886,intracellular protein transport,24/179,87/1207,0.275862068965517,1.86014255442111,3.47395878263651,0.00100032006880363,0.0554660231253874,0.0531204450330203,P10599/Q13277/P54920/P61966/Q9NR31/P20339/Q92930/Q9NP72/P04792/P48444/P62829/Q15833/Q9H0U4/Q9Y6B6/P07900/P61960/P62820/P51148/Q14247/P11142/Q00610/Q9BUL8/P30040/P51149,24,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.86014255442111,Intracellular protein transport
GO:0006457,protein folding,17/179,54/1207,0.314814814814815,2.12280157252224,3.52118506007435,0.00117614206070948,0.0630412144540283,0.0603752924497535,Q15185/O75347/P17987/Q99832/P04792/P48643/P49368/P50990/P50991/P62942/Q12931/P07900/P62937/P08238/P11142/P30040/Q02790,17,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.12280157252224,Protein folding
GO:0051649,establishment of localization in cell,44/179,197/1207,0.223350253807107,1.50605450472166,3.2387194796506,0.00131446769457256,0.0681827113829893,0.0652993628916689,P10599/P51153/Q13277/P54920/P28288/O94832/P61966/P63104/Q9NR31/O00161/P20339/Q9HD42/Q92930/P42574/Q9NP72/O75787/P04792/P05413/P48444/P62829/Q15833/Q5JWF2/Q9H0U4/Q9Y6B6/P07355/P07900/P22307/P61960/P62820/P62841/Q9H444/P51148/Q14247/P15313/Q9P0L0/Q9Y5N1/P11142/Q00610/P28482/P52565/Q9BUL8/P12429/P30040/P51149,44,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.50605450472166,Establishment of localization in cell
GO:0034504,protein localization to nucleus,12/179,33/1207,0.363636363636364,2.4520060944642,3.52772703027033,0.00161302493974885,0.0810545032223797,0.0776268252254134,P10599/P63104/P17987/Q99832/P48643/P49368/P50990/P50991/P62829/P07900/P61960/P11142,12,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.4520060944642,Protein localization to nucleus
GO:0046390,ribose phosphate biosynthetic process,9/179,21/1207,0.428571428571429,2.88986432561852,3.64419444665687,0.00167615588392333,0.081674504889355,0.0782206079164221,P22392/P30085/P06576/P06737/P07741/P11586/P04075/O60266/P22234,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.88986432561852,Ribose phosphate biosynthetic process
GO:0009988,cell-cell recognition,7/179,14/1207,0.5,3.37150837988827,3.72282028520637,0.00192457449318612,0.0853984075599379,0.0817870321158609,P17987/Q99832/P48643/P49368/P50990/P50991/P04075,7,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-3.37150837988827,Cell-cell recognition
GO:0002181,cytoplasmic translation,25/179,96/1207,0.260416666666667,1.75599394785847,3.22033103817157,0.00195367496993044,0.0853984075599379,0.0817870321158609,Q04637/P46782/P60228/P61247/P62424/P62829/Q9Y3U8/O00303/P36578/P62841/Q14152/P46781/P47914/P46783/P49207/P62280/P26373/P18077/Q02543/P42766/P60866/P50914/P62888/Q07020/P63220,25,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.75599394785847,Cytoplasmic translation
GO:0051276,chromosome organization,13/179,38/1207,0.342105263157895,2.30682152308145,3.41432166169991,0.00196992415007862,0.0853984075599379,0.0817870321158609,Q15185/Q9HD42/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/Q9H444/P08238/P61586/P28482,13,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.30682152308145,Chromosome organization
GO:0006914,autophagy,19/179,66/1207,0.287878787878788,1.94117149145082,3.28020904131878,0.00201812157169007,0.0853984075599379,0.0817870321158609,Q04637/P11234/P61019/P20339/Q9HD42/P42574/P04792/Q9H0U4/O75608/P07900/P61960/P62820/Q9H444/Q14247/P15313/P11142/Q00610/P05198/P51149,19,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.94117149145082,Autophagy
GO:0061919,process utilizing autophagic mechanism,19/179,66/1207,0.287878787878788,1.94117149145082,3.28020904131878,0.00201812157169007,0.0853984075599379,0.0817870321158609,Q04637/P11234/P61019/P20339/Q9HD42/P42574/P04792/Q9H0U4/O75608/P07900/P61960/P62820/Q9H444/Q14247/P15313/P11142/Q00610/P05198/P51149,19,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.94117149145082,Process utilizing autophagic mechanism
GO:0009260,ribonucleotide biosynthetic process,8/179,18/1207,0.444444444444444,2.99689633767846,3.56044644614283,0.00232341035859443,0.0954169479266456,0.091381902865071,P22392/P30085/P06576/P07741/P11586/P04075/O60266/P22234,8,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.99689633767846,Ribonucleotide biosynthetic process
GO:0019395,fatty acid oxidation,6/179,11/1207,0.545454545454545,3.67800914169629,3.72174334111264,0.00237355591857327,0.0954169479266456,0.091381902865071,P40394/P09110/P28288/P05413/P22307/P51659,6,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-3.67800914169629,Fatty acid oxidation
GO:0046907,intracellular transport,36/179,157/1207,0.229299363057325,1.54616944810163,3.06045636208039,0.00244627814813993,0.0959418356636344,0.0918845938569633,P10599/P51153/Q13277/P54920/P28288/O94832/P61966/Q9NR31/P20339/Q9HD42/Q92930/Q9NP72/P04792/P05413/P48444/P62829/Q15833/Q5JWF2/Q9H0U4/Q9Y6B6/P07355/P07900/P22307/P61960/P62820/P62841/Q9H444/P51148/Q14247/Q9P0L0/P11142/Q00610/P28482/Q9BUL8/P30040/P51149,36,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.54616944810163,Intracellular transport
GO:0033043,regulation of organelle organization,29/179,119/1207,0.243697478991597,1.64325618515563,3.0828089835792,0.00258732679299249,0.099057654360284,0.0948686490763914,Q15185/O95834/P11234/Q08722/Q9NR31/P20339/Q9HD42/P17987/Q99536/Q99832/P48643/P49368/P50395/P50990/P50991/Q16658/Q9H0U4/Q9Y6B6/P07355/P07900/Q9H444/Q14247/O75083/P61586/Q00610/P28482/P63000/P51149/Q02790,29,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.64325618515563,Regulation of organelle organization
GO:0090407,organophosphate biosynthetic process,21/179,78/1207,0.269230769230769,1.81542758917061,3.10591340924223,0.00295323365818865,0.110437202845752,0.105766972874663,P41250/P22392/P30085/P05413/P06576/P06737/P07741/P53396/P11586/P22307/P43490/P48163/P04075/Q7Z4W1/Q9P0L0/O60266/P60174/Q9P2X0/P14550/P22234/P49327,21,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.81542758917061,Organophosphate biosynthetic process
GO:0019693,ribose phosphate metabolic process,15/179,49/1207,0.306122448979592,2.06418880401323,3.17224015274451,0.00315629533462459,0.112972429423665,0.108194988378385,P22392/P30085/P06576/P06737/P07741/P36871/P11586/P04075/P15313/P00558/P11142/P51570/O60266/P60174/P22234,15,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.06418880401323,Ribose phosphate metabolic process
GO:0006403,RNA localization,7/179,15/1207,0.466666666666667,3.14674115456238,3.48972171590222,0.00316154186819957,0.112972429423665,0.108194988378385,P17987/Q99832/P48643/P49368/P50990/P50991/Q14764,7,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-3.14674115456238,RNA localization
GO:0051641,cellular localization,66/179,338/1207,0.195266272189349,1.31668374599187,2.86205415737144,0.00325269327566568,0.113702843201531,0.108894514011416,P10599/Q04637/P51153/Q13277/Q8N3R9/P54920/P28288/O75915/O94832/P61019/P61966/P63104/Q9NR31/O00161/P20339/Q9HD42/Q92930/P17987/P42574/Q99832/Q9NP72/O75787/P04792/P05413/P21964/P48444/P48643/P49368/P50395/P50990/P50991/P62829/P62942/Q15833/Q5JWF2/Q9H0U4/Q9Y6B6/O75608/P07355/P07900/P22307/P61960/P61981/P62820/P62841/Q9H444/Q9P2E9/O43681/P62937/P51148/Q14247/P08238/P15313/Q9P0L0/Q9Y5N1/P11142/Q00610/P28482/P52565/P63000/Q13228/Q14764/Q9BUL8/P12429/P30040/P51149,66,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.31668374599187,Cellular localization
GO:0099003,vesicle-mediated transport in synapse,10/179,27/1207,0.37037037037037,2.49741361473205,3.28236042665224,0.00341966718187091,0.116996272945711,0.11204866936343,Q13277/P54920/O00161/P20339/P42574/O75787/Q15833/P15313/P52565/P51149,10,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.49741361473205,Vesicle-mediated transport in synapse
GO:0009267,cellular response to starvation,9/179,23/1207,0.391304347826087,2.63857177556473,3.30946009453395,0.00355835298783392,0.119204825092436,0.114163825026338,P11234/P63104/Q9NR31/P21964/Q9Y6B6/P61981/P11142/P28482/P05198,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.63857177556473,Cellular response to starvation
GO:0015031,protein transport,38/179,172/1207,0.22093023255814,1.48973626088086,2.89307652733328,0.00376332847090394,0.123498615943133,0.118276037656981,P10599/Q13277/P54920/O75915/O94832/P61019/P61966/Q9NR31/O00161/P20339/Q9HD42/Q92930/Q9NP72/P04792/P21964/P48444/P50395/P62829/Q15833/Q5JWF2/Q9H0U4/Q9Y6B6/O75608/P07900/P61960/P62820/Q9H444/Q9P2E9/P62937/P51148/Q14247/P11142/Q00610/Q13228/Q14764/Q9BUL8/P30040/P51149,38,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.48973626088086,Protein transport
GO:0034440,lipid oxidation,6/179,12/1207,0.5,3.37150837988827,3.44377640422489,0.00416802022141293,0.131987409439598,0.126405852323993,P40394/P09110/P28288/P05413/P22307/P51659,6,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-3.37150837988827,Lipid oxidation
GO:0051604,protein maturation,25/179,101/1207,0.247524752475248,1.66906355440013,2.92990884514549,0.00418616783670366,0.131987409439598,0.126405852323993,Q15185/Q6UXH8/O75347/P17987/P42574/Q99832/O75787/P04792/P48643/P49368/P50990/P50991/P62942/Q12931/P07355/P07900/P62937/P08238/P00558/P11142/Q14764/Q92542/P30040/Q9P2X0/Q02790,25,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.66906355440013,Protein maturation
GO:0009259,ribonucleotide metabolic process,14/179,46/1207,0.304347826086957,2.0522224921059,3.03510694858152,0.00459958194790549,0.142233226389077,0.136218388457201,P22392/P30085/P06576/P07741/P36871/P11586/P04075/P15313/P00558/P11142/P51570/O60266/P60174/P22234,14,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.0522224921059,Ribonucleotide metabolic process
GO:0010638,positive regulation of organelle organization,17/179,61/1207,0.278688524590164,1.87920139206887,2.93943991896064,0.00508193253507976,0.152487681720148,0.146039197667305,Q15185/P11234/Q08722/P17987/Q99832/P48643/P49368/P50990/P50991/Q16658/P07355/P07900/Q14247/O75083/P61586/P28482/P63000,17,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.87920139206887,Positive regulation of organelle organization
GO:0006164,purine nucleotide biosynthetic process,8/179,20/1207,0.4,2.69720670391061,3.19247855740603,0.00512085498313928,0.152487681720148,0.146039197667305,P22392/P06576/P07741/P11586/P43490/P04075/O60266/P22234,8,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.69720670391061,Purine nucleotide biosynthetic process
GO:0032787,monocarboxylic acid metabolic process,22/179,87/1207,0.252873563218391,1.70513067488602,2.84789409422407,0.00549095200200314,0.159815021798976,0.153056675105984,P40394/P09110/Q15185/P28288/P05413/P21964/P36871/P53396/O75608/P22307/P48163/P04075/Q7Z4W1/P15313/P00558/P51570/P51659/P60174/O43175/P15121/P14550/P49327,22,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.70513067488602,Monocarboxylic acid metabolic process
GO:0071705,nitrogen compound transport,42/179,199/1207,0.21105527638191,1.42314926588249,2.72454180452355,0.00564583148418884,0.159815021798976,0.153056675105984,P10599/Q13277/P54920/Q4VNC1/O75915/O94832/P61019/P61966/Q08722/Q9NR31/O00161/P20339/Q9HD42/Q92930/Q9NP72/P04792/P21964/P48444/P50395/P62829/Q15833/Q5JWF2/Q9H0U4/Q9UN76/Q9Y6B6/O75608/P07900/P61960/P62820/Q9H444/Q9P2E9/P62937/P51148/Q14247/Q9P0L0/P11142/Q00610/Q13228/Q14764/Q9BUL8/P30040/P51149,42,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.42314926588249,Nitrogen compound transport
GO:0016236,macroautophagy,14/179,47/1207,0.297872340425532,2.00855818376322,2.94187695430426,0.00570906909398737,0.159815021798976,0.153056675105984,P11234/P61019/P20339/Q9HD42/P42574/Q9H0U4/O75608/P61960/P62820/Q9H444/Q14247/P15313/P05198/P51149,14,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.00855818376322,Macroautophagy
GO:0008104,protein localization,55/179,277/1207,0.1985559566787,1.33886614363794,2.67997166705668,0.00576447217931629,0.159815021798976,0.153056675105984,P10599/Q04637/P51153/Q13277/Q8N3R9/P54920/O75915/O94832/P61019/P61966/P63104/Q9NR31/O00161/P20339/Q9HD42/Q92930/P17987/Q99832/Q9NP72/P04792/P21964/P48444/P48643/P49368/P50395/P50990/P50991/P62829/P62942/Q15833/Q5JWF2/Q9H0U4/Q9Y6B6/O75608/P07900/P22307/P61960/P61981/P62820/Q9H444/Q9P2E9/O43681/P62937/P51148/Q14247/P08238/Q9P0L0/P11142/Q00610/P52565/Q13228/Q14764/Q9BUL8/P30040/P51149,55,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.33886614363794,Protein localization
GO:0031669,cellular response to nutrient levels,10/179,29/1207,0.344827586206897,2.32517819302639,3.01303548429332,0.00619261657693684,0.16817538933802,0.161063494764024,Q04637/P11234/P63104/Q9NR31/P21964/Q9Y6B6/P61981/P11142/P28482/P05198,10,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.32517819302639,Cellular response to nutrient levels
GO:0070727,cellular macromolecule localization,55/179,278/1207,0.197841726618705,1.33405007837306,2.6480716450562,0.00627520109470224,0.16817538933802,0.161063494764024,P10599/Q04637/P51153/Q13277/Q8N3R9/P54920/O75915/O94832/P61019/P61966/P63104/Q9NR31/O00161/P20339/Q9HD42/Q92930/P17987/Q99832/Q9NP72/P04792/P21964/P48444/P48643/P49368/P50395/P50990/P50991/P62829/P62942/Q15833/Q5JWF2/Q9H0U4/Q9Y6B6/O75608/P07900/P22307/P61960/P61981/P62820/Q9H444/Q9P2E9/O43681/P62937/P51148/Q14247/P08238/Q9P0L0/P11142/Q00610/P52565/Q13228/Q14764/Q9BUL8/P30040/P51149,55,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-1.33405007837306,Cellular macromolecule localization
GO:0008037,cell recognition,9/179,25/1207,0.36,2.42748603351955,3.00840807655192,0.00679790367819123,0.173533831202058,0.166195335852717,P63104/P17987/P42574/Q99832/P48643/P49368/P50990/P50991/P04075,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.42748603351955,Cell recognition
GO:1900180,regulation of protein localization to nucleus,9/179,25/1207,0.36,2.42748603351955,3.00840807655192,0.00679790367819123,0.173533831202058,0.166195335852717,P63104/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/P61960,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.42748603351955,Regulation of protein localization to nucleus
GO:0030258,lipid modification,6/179,13/1207,0.461538461538462,3.11216158143532,3.19374519219618,0.00679890010306571,0.173533831202058,0.166195335852717,P40394/P09110/P28288/P05413/P22307/P51659,6,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-3.11216158143532,Lipid modification
GO:0009152,purine ribonucleotide biosynthetic process,7/179,17/1207,0.411764705882353,2.77653631284916,3.07700839447123,0.00734065195712646,0.181596436108605,0.173916984830381,P22392/P06576/P07741/P11586/P04075/O60266/P22234,7,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.77653631284916,Purine ribonucleotide biosynthetic process
GO:1900182,positive regulation of protein localization to nucleus,7/179,17/1207,0.411764705882353,2.77653631284916,3.07700839447123,0.00734065195712646,0.181596436108605,0.173916984830381,P17987/Q99832/P48643/P49368/P50990/P50991/P07900,7,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-2.77653631284916,Positive regulation of protein localization to nucleus
