"","Interval","L","M","S","-3 SD","-2 SD","-1 SD","Median","1 SD","2 SD","3 SD","sex","agerange","interval1","interval2","Delta"
"46","0-4mo",0.8123,13.0081,0.10744,9,10.3,11.6,13,14.4,15.9,17.3,"Female",4,1,121.6668,0
"47","1-5mo",0.8123,10.6621,0.12126,6.9,8.1,9.4,10.7,12,13.3,14.7,"Female",4,30.4167,152.0835,0
"48","2-6mo",0.8123,8.7302,0.13625,5.3,6.4,7.6,8.7,9.9,11.2,12.4,"Female",4,60.8334,182.5002,0
"49","3-7mo",0.8123,7.4606,0.15069,4.2,5.3,6.4,7.5,8.6,9.8,11,"Female",4,91.2501,212.9169,0
"50","4-8mo",0.8123,6.5992,0.16368,3.5,4.5,5.5,6.6,7.7,8.8,10,"Female",4,121.6668,243.3336,0
"51","5-9mo",0.8123,6.0664,0.1724,3.1,4,5,6.1,7.1,8.2,9.3,"Female",4,152.0835,273.7503,0
"52","6-10mo",0.8123,5.7273,0.17782,2.8,3.8,4.7,5.7,6.8,7.8,8.9,"Female",4,182.5002,304.167,0
"53","7-11mo",0.8123,5.4731,0.18189,2.7,3.6,4.5,5.5,6.5,7.5,8.6,"Female",4,212.9169,334.5837,0
"54","8-12mo",0.8123,5.2575,0.18562,2.5,3.4,4.3,5.3,6.2,7.3,8.3,"Female",4,243.3336,365.0004,0
"55","9-13mo",0.8123,5.055,0.18974,2.4,3.2,4.1,5.1,6,7,8.1,"Female",4,273.7503,395.4171,0
"56","10-14mo",0.8123,4.8763,0.19407,2.2,3.1,3.9,4.9,5.8,6.8,7.9,"Female",4,304.167,425.8338,0
"57","11-15mo",0.8123,4.7084,0.19893,2.1,2.9,3.8,4.7,5.7,6.6,7.7,"Female",4,334.5837,456.2505,0
"58","12-16mo",0.8123,4.5658,0.20385,2,2.8,3.7,4.6,5.5,6.5,7.5,"Female",4,365.0004,486.6672,0
"59","13-17mo",0.8123,4.4427,0.2088,1.9,2.7,3.5,4.4,5.4,6.4,7.4,"Female",4,395.4171,517.0839,0
"60","14-18mo",0.8123,4.3256,0.21372,1.7,2.6,3.4,4.3,5.3,6.2,7.2,"Female",4,425.8338,547.5006,0
"61","15-19mo",0.8123,4.2141,0.21816,1.7,2.5,3.3,4.2,5.2,6.1,7.1,"Female",4,456.2505,577.9173,0
"62","16-20mo",0.8123,4.0974,0.2224,1.6,2.4,3.2,4.1,5,6,7,"Female",4,486.6672,608.334,0
"63","17-21mo",0.8123,3.9825,0.22623,1.5,2.3,3.1,4,4.9,5.9,6.8,"Female",4,517.0839,638.7507,0
"64","18-22mo",0.8123,3.866,0.22998,1.4,2.2,3,3.9,4.8,5.7,6.7,"Female",4,547.5006,669.1674,0
"65","19-23mo",0.8123,3.7559,0.23357,1.3,2.1,2.9,3.8,4.7,5.6,6.5,"Female",4,577.9173,699.5841,0
"66","20-24mo",0.8123,3.6558,0.23694,1.3,2,2.8,3.7,4.5,5.5,6.4,"Female",4,608.334,730.0008,0
"67","0-6mo",0.7138,16.4915,0.09904,11.8,13.3,14.9,16.5,18.1,19.8,21.6,"Female",6,1,182.5002,0
"68","1-7mo",0.7138,13.8733,0.10884,9.6,11,12.4,13.9,15.4,17,18.6,"Female",6,30.4167,212.9169,0
"69","2-8mo",0.7138,11.8137,0.11821,7.8,9.1,10.4,11.8,13.2,14.7,16.2,"Female",6,60.8334,243.3336,0
"70","3-9mo",0.7138,10.3499,0.12639,6.7,7.8,9.1,10.3,11.7,13.1,14.5,"Female",6,91.2501,273.7503,0
"71","4-10mo",0.7138,9.3426,0.1329,5.8,7,8.1,9.3,10.6,11.9,13.3,"Female",6,121.6668,304.167,0
"72","5-11mo",0.7138,8.677,0.13782,5.3,6.4,7.5,8.7,9.9,11.2,12.5,"Female",6,152.0835,334.5837,0
"73","6-12mo",0.7138,8.2244,0.14171,5,6,7.1,8.2,9.4,10.6,11.9,"Female",6,182.5002,365.0004,0
"74","7-13mo",0.7138,7.8787,0.14512,4.7,5.7,6.8,7.9,9,10.3,11.5,"Female",6,212.9169,395.4171,0
"75","8-14mo",0.7138,7.5879,0.14836,4.4,5.4,6.5,7.6,8.7,9.9,11.2,"Female",6,243.3336,425.8338,0
"76","9-15mo",0.7138,7.3259,0.15166,4.2,5.2,6.2,7.3,8.5,9.6,10.9,"Female",6,273.7503,456.2505,0
"77","10-16mo",0.7138,7.0897,0.15514,4,5,6,7.1,8.2,9.4,10.6,"Female",6,304.167,486.6672,0
"78","11-17mo",0.7138,6.8778,0.1588,3.8,4.8,5.8,6.9,8,9.2,10.4,"Female",6,334.5837,517.0839,0
"79","12-18mo",0.7138,6.6823,0.16252,3.7,4.6,5.6,6.7,7.8,9,10.2,"Female",6,365.0004,547.5006,0
"80","13-19mo",0.7138,6.4984,0.16617,3.5,4.4,5.4,6.5,7.6,8.8,10,"Female",6,395.4171,577.9173,0
"81","14-20mo",0.7138,6.3217,0.16964,3.4,4.3,5.3,6.3,7.4,8.6,9.8,"Female",6,425.8338,608.334,0
"82","15-21mo",0.7138,6.1484,0.17287,3.2,4.1,5.1,6.1,7.2,8.4,9.6,"Female",6,456.2505,638.7507,0
"83","16-22mo",0.7138,5.977,0.17591,3.1,4,5,6,7.1,8.2,9.4,"Female",6,486.6672,669.1674,0
"84","17-23mo",0.7138,5.8083,0.17884,3,3.8,4.8,5.8,6.9,8,9.1,"Female",6,517.0839,699.5841,0
"85","18-24mo",0.7138,5.6454,0.18169,2.8,3.7,4.6,5.6,6.7,7.8,8.9,"Female",6,547.5006,730.0008,0
"86","0-2mo",0.9497,8.482,0.134,5.1,6.2,7.3,8.5,9.6,10.8,11.9,"Male",2,1,60.8334,0
"87","1-3mo",0.9497,6.9984,0.14062,4.1,5,6,7,8,9,10,"Male",2,30.4167,91.2501,0
"88","2-4mo",0.9497,5.5716,0.17179,2.7,3.7,4.6,5.6,6.5,7.5,8.5,"Male",2,60.8334,121.6668,0
"89","3-5mo",0.9497,4.4941,0.20929,1.7,2.6,3.6,4.5,5.4,6.4,7.4,"Male",2,91.2501,152.0835,0
"90","4-6mo",0.9497,3.7228,0.24323,1.1,1.9,2.8,3.7,4.6,5.6,6.5,"Male",2,121.6668,182.5002,0
"91","5-7mo",0.9497,3.2403,0.26837,0.7,1.5,2.4,3.2,4.1,5,5.9,"Male",2,152.0835,212.9169,0
"92","6-8mo",0.9497,2.9661,0.28481,0.5,1.3,2.1,3,3.8,4.7,5.5,"Male",2,182.5002,243.3336,0
"93","7-9mo",0.9497,2.8089,0.29636,0.4,1.2,2,2.8,3.6,4.5,5.4,"Male",2,212.9169,273.7503,0
"94","8-10mo",0.9497,2.6901,0.30505,0.3,1.1,1.9,2.7,3.5,4.4,5.2,"Male",2,243.3336,304.167,0
"95","9-11mo",0.9497,2.5785,0.31391,0.2,1,1.8,2.6,3.4,4.2,5.1,"Male",2,273.7503,334.5837,0
"96","10-12mo",0.9497,2.4724,0.324,0.2,0.9,1.7,2.5,3.3,4.1,4.9,"Male",2,304.167,365.0004,0
"97","11-13mo",0.9497,2.3818,0.33613,0.1,0.8,1.6,2.4,3.2,4,4.8,"Male",2,334.5837,395.4171,0
"98","12-14mo",0.9497,2.2978,0.34908,0,0.7,1.5,2.3,3.1,3.9,4.8,"Male",2,365.0004,425.8338,0
"99","13-15mo",0.9497,2.2138,0.36174,0,0.7,1.4,2.2,3,3.8,4.7,"Male",2,395.4171,456.2505,0
"100","14-16mo",0.9497,2.1357,0.3741,0,0.6,1.3,2.1,2.9,3.8,4.6,"Male",2,425.8338,486.6672,0
"101","15-17mo",0.9497,2.0675,0.38645,0,0.5,1.3,2.1,2.9,3.7,4.5,"Male",2,456.2505,517.0839,0
"102","16-18mo",0.9497,2.0061,0.39924,0,0.4,1.2,2,2.8,3.6,4.5,"Male",2,486.6672,547.5006,0
"103","17-19mo",0.9497,1.9495,0.41274,0,0.4,1.2,1.9,2.8,3.6,4.4,"Male",2,517.0839,577.9173,0
"104","18-20mo",0.9497,1.8972,0.42656,0,0.3,1.1,1.9,2.7,3.5,4.4,"Male",2,547.5006,608.334,0
"105","19-21mo",0.9497,1.849,0.44029,0,0.3,1,1.8,2.7,3.5,4.4,"Male",2,577.9173,638.7507,0
"106","20-22mo",0.9497,1.803,0.45398,0,0.2,1,1.8,2.6,3.5,4.3,"Male",2,608.334,669.1674,0
"107","21-23mo",0.9497,1.7575,0.46768,0,0.2,0.9,1.8,2.6,3.4,4.3,"Male",2,638.7507,699.5841,0
"108","22-24mo",0.9497,1.7133,0.48129,0,0.1,0.9,1.7,2.5,3.4,4.3,"Male",2,669.1674,730.0008,0
"109","0-3mo",0.8792,11.4458,0.11285,7.7,8.9,10.2,11.4,12.7,14.1,15.4,"Male",3,1,91.2501,0
"110","1-4mo",0.8792,9.495,0.127,6,7.1,8.3,9.5,10.7,11.9,13.2,"Male",3,30.4167,121.6668,0
"111","2-5mo",0.8792,7.6058,0.15474,4.2,5.3,6.4,7.6,8.8,10,11.2,"Male",3,60.8334,152.0835,0
"112","3-6mo",0.8792,6.2317,0.18096,3,4,5.1,6.2,7.4,8.5,9.7,"Male",3,91.2501,182.5002,0
"113","4-7mo",0.8792,5.3243,0.20103,2.3,3.2,4.3,5.3,6.4,7.5,8.6,"Male",3,121.6668,212.9169,0
"114","5-8mo",0.8792,4.7433,0.21513,1.8,2.8,3.7,4.7,5.8,6.8,7.9,"Male",3,152.0835,243.3336,0
"115","6-9mo",0.8792,4.3594,0.22535,1.6,2.5,3.4,4.4,5.4,6.4,7.4,"Male",3,182.5002,273.7503,0
"116","7-10mo",0.8792,4.1002,0.23308,1.4,2.3,3.2,4.1,5.1,6.1,7.1,"Male",3,212.9169,304.167,0
"117","8-11mo",0.8792,3.92,0.23935,1.3,2.1,3,3.9,4.9,5.8,6.8,"Male",3,243.3336,334.5837,0
"118","9-12mo",0.8792,3.7818,0.24526,1.2,2,2.9,3.8,4.7,5.7,6.7,"Male",3,273.7503,365.0004,0
"119","10-13mo",0.8792,3.6611,0.25157,1.1,1.9,2.8,3.7,4.6,5.6,6.5,"Male",3,304.167,395.4171,0
"120","11-14mo",0.8792,3.543,0.25876,1,1.8,2.6,3.5,4.5,5.4,6.4,"Male",3,334.5837,425.8338,0
"121","12-15mo",0.8792,3.4189,0.26713,0.9,1.7,2.5,3.4,4.3,5.3,6.3,"Male",3,365.0004,456.2505,0
"122","13-16mo",0.8792,3.292,0.27641,0.7,1.5,2.4,3.3,4.2,5.2,6.1,"Male",3,395.4171,486.6672,0
"123","14-17mo",0.8792,3.1717,0.2859,0.6,1.4,2.3,3.2,4.1,5,6,"Male",3,425.8338,517.0839,0
"124","15-18mo",0.8792,3.0649,0.29508,0.6,1.3,2.2,3.1,4,4.9,5.9,"Male",3,456.2505,547.5006,0
"125","16-19mo",0.8792,2.9758,0.30351,0.5,1.2,2.1,3,3.9,4.8,5.8,"Male",3,486.6672,577.9173,0
"126","17-20mo",0.8792,2.9068,0.31089,0.4,1.2,2,2.9,3.8,4.8,5.7,"Male",3,517.0839,608.334,0
"127","18-21mo",0.8792,2.8507,0.31767,0.4,1.1,2,2.9,3.8,4.7,5.7,"Male",3,547.5006,638.7507,0
"128","19-22mo",0.8792,2.794,0.32487,0.3,1.1,1.9,2.8,3.7,4.7,5.6,"Male",3,577.9173,669.1674,0
"129","20-23mo",0.8792,2.7265,0.33332,0.2,1,1.8,2.7,3.7,4.6,5.6,"Male",3,608.334,699.5841,0
"130","21-24mo",0.8792,2.6405,0.34377,0.2,0.9,1.8,2.6,3.6,4.5,5.5,"Male",3,638.7507,730.0008,0
"131","0-4mo",1.0138,13.977,0.10113,9.7,11.1,12.6,14,15.4,16.8,18.2,"Male",4,1,121.6668,0
"132","1-5mo",1.0138,11.4886,0.12006,7.3,8.7,10.1,11.5,12.9,14.2,15.6,"Male",4,30.4167,152.0835,0
"133","2-6mo",1.0138,9.3048,0.13954,5.4,6.7,8,9.3,10.6,11.9,13.2,"Male",4,60.8334,182.5002,0
"134","3-7mo",1.0138,7.7601,0.15624,4.1,5.3,6.5,7.8,9,10.2,11.4,"Male",4,91.2501,212.9169,0
"135","4-8mo",1.0138,6.7018,0.16955,3.3,4.4,5.6,6.7,7.8,9,10.1,"Male",4,121.6668,243.3336,0
"136","5-9mo",1.0138,6.0704,0.1778,2.8,3.9,5,6.1,7.1,8.2,9.3,"Male",4,152.0835,273.7503,0
"137","6-10mo",1.0138,5.6756,0.18311,2.5,3.6,4.6,5.7,6.7,7.7,8.8,"Male",4,182.5002,304.167,0
"138","7-11mo",1.0138,5.3939,0.18754,2.3,3.4,4.4,5.4,6.4,7.4,8.4,"Male",4,212.9169,334.5837,0
"139","8-12mo",1.0138,5.1699,0.19138,2.2,3.2,4.2,5.2,6.2,7.1,8.1,"Male",4,243.3336,365.0004,0
"140","9-13mo",1.0138,4.9623,0.19512,2,3,4,5,5.9,6.9,7.9,"Male",4,273.7503,395.4171,0
"141","10-14mo",1.0138,4.7773,0.1988,1.9,2.9,3.8,4.8,5.7,6.7,7.6,"Male",4,304.167,425.8338,0
"142","11-15mo",1.0138,4.6014,0.20286,1.8,2.7,3.7,4.6,5.5,6.5,7.4,"Male",4,334.5837,456.2505,0
"143","12-16mo",1.0138,4.4487,0.20707,1.7,2.6,3.5,4.4,5.4,6.3,7.2,"Male",4,365.0004,486.6672,0
"144","13-17mo",1.0138,4.3123,0.21158,1.6,2.5,3.4,4.3,5.2,6.1,7,"Male",4,395.4171,517.0839,0
"145","14-18mo",1.0138,4.1833,0.21644,1.5,2.4,3.3,4.2,5.1,6,6.9,"Male",4,425.8338,547.5006,0
"146","15-19mo",1.0138,4.068,0.22124,1.4,2.3,3.2,4.1,5,5.9,6.8,"Male",4,456.2505,577.9173,0
"147","16-20mo",1.0138,3.9584,0.22619,1.3,2.2,3.1,4,4.9,5.7,6.6,"Male",4,486.6672,608.334,0
"148","17-21mo",1.0138,3.86,0.23092,1.2,2.1,3,3.9,4.8,5.6,6.5,"Male",4,517.0839,638.7507,0
"149","18-22mo",1.0138,3.7663,0.23577,1.1,2,2.9,3.8,4.7,5.5,6.4,"Male",4,547.5006,669.1674,0
"150","19-23mo",1.0138,3.6815,0.24063,1,1.9,2.8,3.7,4.6,5.4,6.3,"Male",4,577.9173,699.5841,0
"151","20-24mo",1.0138,3.6058,0.2453,0.9,1.8,2.7,3.6,4.5,5.4,6.2,"Male",4,608.334,730.0008,0
"152","0-6mo",0.9027,17.6547,0.09452,12.7,14.3,16,17.7,19.3,21,22.7,"Male",6,1,182.5002,0
"153","1-7mo",0.9027,14.711,0.10935,10,11.5,13.1,14.7,16.3,18,19.6,"Male",6,30.4167,212.9169,0
"154","2-8mo",0.9027,12.3097,0.12383,7.8,9.3,10.8,12.3,13.8,15.4,17,"Male",6,60.8334,243.3336,0
"155","3-9mo",0.9027,10.5768,0.1357,6.4,7.7,9.2,10.6,12,13.5,15,"Male",6,91.2501,273.7503,0
"156","4-10mo",0.9027,9.4,0.14407,5.4,6.7,8.1,9.4,10.8,12.1,13.5,"Male",6,121.6668,304.167,0
"157","5-11mo",0.9027,8.6282,0.14919,4.9,6.1,7.4,8.6,9.9,11.2,12.6,"Male",6,152.0835,334.5837,0
"158","6-12mo",0.9027,8.1114,0.15162,4.5,5.7,6.9,8.1,9.3,10.6,11.9,"Male",6,182.5002,365.0004,0
"159","7-13mo",0.9027,7.7366,0.15255,4.3,5.4,6.6,7.7,8.9,10.1,11.3,"Male",6,212.9169,395.4171,0
"160","8-14mo",0.9027,7.4335,0.15299,4.1,5.2,6.3,7.4,8.6,9.7,10.9,"Male",6,243.3336,425.8338,0
"161","9-15mo",0.9027,7.1621,0.15364,3.9,5,6.1,7.2,8.3,9.4,10.5,"Male",6,273.7503,456.2505,0
"162","10-16mo",0.9027,6.9165,0.15479,3.8,4.8,5.9,6.9,8,9.1,10.2,"Male",6,304.167,486.6672,0
"163","11-17mo",0.9027,6.6927,0.15649,3.6,4.6,5.7,6.7,7.7,8.8,9.9,"Male",6,334.5837,517.0839,0
"164","12-18mo",0.9027,6.483,0.15863,3.5,4.5,5.5,6.5,7.5,8.6,9.6,"Male",6,365.0004,547.5006,0
"165","13-19mo",0.9027,6.2862,0.16108,3.3,4.3,5.3,6.3,7.3,8.3,9.4,"Male",6,395.4171,577.9173,0
"166","14-20mo",0.9027,6.1061,0.16362,3.2,4.1,5.1,6.1,7.1,8.1,9.2,"Male",6,425.8338,608.334,0
"167","15-21mo",0.9027,5.9431,0.1661,3.1,4,5,5.9,6.9,7.9,9,"Male",6,456.2505,638.7507,0
"168","16-22mo",0.9027,5.7899,0.16861,2.9,3.9,4.8,5.8,6.8,7.8,8.8,"Male",6,486.6672,669.1674,0
"169","17-23mo",0.9027,5.6425,0.17124,2.8,3.7,4.7,5.6,6.6,7.6,8.6,"Male",6,517.0839,699.5841,0
"170","18-24mo",0.9027,5.5018,0.17392,2.7,3.6,4.6,5.5,6.5,7.4,8.4,"Male",6,547.5006,730.0008,0
