"","Interval","L","M","S","Delta","-3 SD","-2 SD","-1 SD","Median","1 SD","2 SD","3 SD","sex","agerange","interval1","interval2"
"65","7-11mo",0.4873,1855.0205,0.22441,800,20,318,663,1055,1495,1984,2521,"Female",4,212.9169,334.5837
"66","8-12mo",0.5659,1780.1251,0.2312,800,-62,241,589,980,1412,1884,2396,"Female",4,243.3336,365.0004
"67","9-13mo",0.6483,1726.3407,0.23622,800,-132,182,536,926,1351,1807,2293,"Female",4,273.7503,395.4171
"68","10-14mo",0.7201,1691.6549,0.2398,800,-186,139,500,892,1310,1754,2220,"Female",4,304.167,425.8338
"69","11-15mo",0.7759,1668.6291,0.24275,800,-229,107,475,869,1284,1719,2172,"Female",4,334.5837,456.2505
"70","12-16mo",0.8064,1655.384,0.24522,800,-257,87,460,855,1271,1702,2149,"Female",4,365.0004,486.6672
"71","13-17mo",0.8111,1648.5922,0.24757,800,-271,75,451,849,1266,1700,2148,"Female",4,395.4171,517.0839
"72","14-18mo",0.7924,1643.852,0.25015,800,-274,69,444,844,1265,1705,2162,"Female",4,425.8338,547.5006
"73","15-19mo",0.7577,1638.7127,0.25299,800,-270,66,437,839,1265,1715,2185,"Female",4,456.2505,577.9173
"74","16-20mo",0.7139,1631.2189,0.25623,800,-265,62,429,831,1264,1725,2210,"Female",4,486.6672,608.334
"75","17-21mo",0.6699,1621.0212,0.25952,800,-261,57,419,821,1259,1731,2233,"Female",4,517.0839,638.7507
"76","18-22mo",0.6227,1607.4454,0.2629,800,-257,50,406,807,1251,1733,2253,"Female",4,547.5006,669.1674
"77","19-23mo",0.5732,1591.7399,0.26613,800,-253,44,393,792,1239,1733,2272,"Female",4,577.9173,699.5841
"78","20-24mo",0.5249,1576.2729,0.26914,800,-249,37,379,776,1228,1732,2290,"Female",4,608.334,730.0008
"79","0-6mo",-0.1223,4528.9831,0.15945,450,2395,2862,3417,4079,4870,5820,6964,"Female",6,1,182.5002
"80","1-7mo",-0.028,3911.9319,0.17265,450,1889,2324,2843,3462,4201,5085,6141,"Female",6,30.4167,212.9169
"81","2-8mo",0.0799,3327.7315,0.18755,450,1421,1824,2305,2878,3559,4366,5320,"Female",6,60.8334,243.3336
"82","3-9mo",0.1942,2853.38,0.20514,450,1032,1411,1864,2403,3039,3784,4653,"Female",6,91.2501,273.7503
"83","4-10mo",0.3097,2501.5063,0.22466,450,725,1092,1532,2052,2658,3360,4164,"Female",6,121.6668,304.167
"84","5-11mo",0.4246,2248.588,0.24383,450,486,852,1288,1799,2386,3053,3802,"Female",6,152.0835,334.5837
"85","6-12mo",0.525,2068.2742,0.25997,450,308,677,1114,1618,2189,2825,3527,"Female",6,182.5002,365.0004
"86","7-13mo",0.6042,1939.2944,0.27156,450,182,554,992,1489,2044,2652,3311,"Female",6,212.9169,395.4171
"87","8-14mo",0.6644,1850.4715,0.27943,450,93,470,908,1400,1941,2526,3153,"Female",6,243.3336,425.8338
"88","9-15mo",0.7065,1793.3361,0.28481,450,34,415,855,1343,1875,2444,3049,"Female",6,273.7503,456.2505
"89","10-16mo",0.7288,1758.5512,0.2887,450,-2,381,822,1309,1835,2397,2991,"Female",6,304.167,486.6672
"90","11-17mo",0.7317,1738.3567,0.29175,450,-20,362,802,1288,1815,2376,2969,"Female",6,334.5837,517.0839
"91","12-18mo",0.7206,1725.0429,0.29439,450,-26,352,789,1275,1803,2368,2967,"Female",6,365.0004,547.5006
"92","13-19mo",0.7016,1713.8691,0.29696,450,-27,345,778,1264,1795,2366,2974,"Female",6,395.4171,577.9173
"93","14-20mo",0.6812,1703.1167,0.29971,450,-26,338,768,1253,1787,2365,2984,"Female",6,425.8338,608.334
"94","15-21mo",0.6643,1691.6943,0.30278,450,-30,330,756,1242,1779,2364,2993,"Female",6,456.2505,638.7507
"95","16-22mo",0.6534,1677.6772,0.30619,450,-38,317,742,1228,1768,2358,2995,"Female",6,486.6672,669.1674
"96","17-23mo",0.6489,1659.966,0.30991,450,-51,301,724,1210,1752,2345,2986,"Female",6,517.0839,699.5841
"97","18-24mo",0.6476,1640.7438,0.31376,450,-66,283,705,1191,1733,2328,2972,"Female",6,547.5006,730.0008
"98","0-4wks",1.3828,1423.0783,0.22048,400,-160,321,694,1023,1325,1608,1876,"Male",1,1,27.99999889323
"99","4wks-2mo",0.7241,1596.347,0.19296,400,354,615,897,1196,1512,1844,2189,"Male",1,27.99999889323,60.8334
"100","2-3mo",0.659,1215.3989,0.19591,400,178,372,585,815,1061,1322,1597,"Male",1,60.8334,91.2501
"101","3-4mo",0.7003,1017.0488,0.20965,400,44,219,411,617,837,1069,1313,"Male",1,91.2501,121.6668
"102","4-5mo",0.7419,921.6249,0.2279,400,-45,128,318,522,738,965,1202,"Male",1,121.6668,152.0835
"103","5-6mo",0.7668,822.1842,0.24854,400,-128,40,224,422,632,853,1083,"Male",1,152.0835,182.5002
"104","6-7mo",0.7688,756.5306,0.26783,400,-183,-21,161,357,565,785,1014,"Male",1,182.5002,212.9169
"105","7-8mo",0.7624,715.6257,0.28677,400,-223,-63,118,316,528,752,987,"Male",1,212.9169,243.3336
"106","8-9mo",0.762,684.7459,0.30439,400,-256,-98,84,285,500,729,969,"Male",1,243.3336,273.7503
"107","9-10mo",0.7659,658.5809,0.32154,400,-286,-128,55,259,478,711,956,"Male",1,273.7503,304.167
"108","10-11mo",0.7713,643.4374,0.33882,400,-312,-153,34,243,469,710,963,"Male",1,304.167,334.5837
"109","11-12mo",0.7761,639.4743,0.35502,400,-333,-172,22,239,475,726,990,"Male",1,334.5837,365.0004
"110","0-2mo",0.7188,2815.612,0.17422,600,862,1285,1737,2216,2718,3243,3788,"Male",2,1,60.8334
"111","1-3mo",0.6464,2592.0761,0.17025,600,795,1165,1564,1992,2446,2926,3430,"Male",2,30.4167,91.2501
"112","2-4mo",0.6071,2038.1036,0.17559,600,480,773,1093,1438,1808,2202,2619,"Male",2,60.8334,121.6668
"113","3-5mo",0.5915,1744.8197,0.18708,600,282,543,831,1145,1484,1846,2233,"Male",2,91.2501,152.0835
"114","4-6mo",0.5891,1541.367,0.2013,600,131,373,644,941,1264,1612,1984,"Male",2,121.6668,182.5002
"115","5-7mo",0.5954,1377.6979,0.21318,600,16,242,497,778,1084,1414,1769,"Male",2,152.0835,212.9169
"116","6-8mo",0.6088,1272.5277,0.22426,600,-64,154,400,673,970,1292,1636,"Male",2,182.5002,243.3336
"117","7-9mo",0.627,1201.4599,0.23472,600,-126,89,332,601,896,1213,1553,"Male",2,212.9169,273.7503
"118","8-10mo",0.6486,1143.8903,0.24611,600,-181,32,275,544,837,1153,1491,"Male",2,243.3336,304.167
"119","9-11mo",0.6725,1101.6312,0.25918,600,-233,-18,229,502,799,1119,1459,"Male",2,273.7503,334.5837
"120","10-12mo",0.6959,1077.9049,0.27217,600,-278,-56,197,478,783,1110,1458,"Male",2,304.167,365.0004
"121","11-13mo",0.7191,1057.9071,0.28462,600,-318,-91,169,458,771,1105,1459,"Male",2,334.5837,395.4171
"122","12-14mo",0.7399,1037.0541,0.29479,600,-353,-122,144,437,754,1092,1448,"Male",2,365.0004,425.8338
"123","13-15mo",0.7597,1014.185,0.30285,600,-383,-149,119,414,732,1069,1424,"Male",2,395.4171,456.2505
"124","14-16mo",0.7771,1000.5821,0.30864,600,-405,-168,103,401,719,1057,1410,"Male",2,425.8338,486.6672
"125","15-17mo",0.7929,999.4661,0.3129,600,-421,-179,98,399,722,1061,1416,"Male",2,456.2505,517.0839
"126","16-18mo",0.8078,1000.968,0.31615,600,-434,-187,95,401,726,1068,1424,"Male",2,486.6672,547.5006
"127","17-19mo",0.821,998.4215,0.31858,600,-446,-195,90,398,725,1067,1422,"Male",2,517.0839,577.9173
"128","18-20mo",0.8335,992.804,0.32058,600,-457,-203,84,393,719,1059,1412,"Male",2,547.5006,608.334
"129","19-21mo",0.8447,986.9799,0.32222,600,-467,-211,78,387,712,1051,1401,"Male",2,577.9173,638.7507
"130","20-22mo",0.8554,981.7965,0.32377,600,-477,-218,72,382,707,1044,1391,"Male",2,608.334,669.1674
"131","21-23mo",0.8655,978.4016,0.32529,600,-486,-224,68,378,703,1039,1385,"Male",2,638.7507,699.5841
"132","22-24mo",0.8748,976.3696,0.32673,600,-495,-230,65,376,701,1037,1382,"Male",2,669.1674,730.0008
"133","0-3mo",0.6854,3638.873,0.15801,650,1401,1899,2428,2989,3578,4194,4836,"Male",3,1,91.2501
"134","1-4mo",0.6503,3215.101,0.16539,650,1116,1565,2049,2565,3112,3688,4293,"Male",3,30.4167,121.6668
"135","2-5mo",0.5884,2661.5629,0.17708,650,758,1139,1558,2012,2500,3022,3576,"Male",3,60.8334,152.0835
"136","3-6mo",0.5368,2231.9042,0.1885,650,488,815,1180,1582,2021,2496,3007,"Male",3,91.2501,182.5002
"137","4-7mo",0.4999,1939.0717,0.19877,650,305,595,923,1289,1694,2137,2618,"Male",3,121.6668,212.9169
"138","5-8mo",0.4819,1745.5952,0.20848,650,179,446,751,1096,1479,1902,2365,"Male",3,152.0835,243.3336
"139","6-9mo",0.4866,1611.6464,0.21853,650,82,336,629,962,1334,1745,2197,"Male",3,182.5002,273.7503
"140","7-10mo",0.5135,1514.8958,0.2294,650,-2,248,537,865,1232,1637,2081,"Male",3,212.9169,304.167
"141","8-11mo",0.5582,1442.6013,0.24108,650,-79,173,464,793,1159,1561,1998,"Male",3,243.3336,334.5837
"142","9-12mo",0.6092,1387.884,0.25261,650,-148,109,405,738,1105,1506,1938,"Male",3,273.7503,365.0004
"143","10-13mo",0.658,1346.3553,0.26315,650,-208,56,358,696,1066,1466,1893,"Male",3,304.167,395.4171
"144","11-14mo",0.7,1314.9304,0.27214,650,-258,13,322,665,1037,1435,1858,"Male",3,334.5837,425.8338
"145","12-15mo",0.7323,1291.3726,0.27922,650,-297,-20,295,641,1015,1412,1832,"Male",3,365.0004,456.2505
"146","13-16mo",0.755,1273.886,0.28446,650,-326,-44,275,624,998,1395,1811,"Male",3,395.4171,486.6672
"147","14-17mo",0.7695,1261.0053,0.28821,650,-346,-61,260,611,986,1382,1797,"Male",3,425.8338,517.0839
"148","15-18mo",0.7769,1251.6296,0.29074,650,-358,-73,250,602,977,1372,1786,"Male",3,456.2505,547.5006
"149","16-19mo",0.7781,1244.9248,0.29231,650,-365,-79,244,595,970,1366,1779,"Male",3,486.6672,577.9173
"150","17-20mo",0.774,1240.2027,0.29311,650,-366,-82,239,590,965,1361,1775,"Male",3,517.0839,608.334
"151","18-21mo",0.7663,1235.8993,0.2935,650,-365,-83,236,586,960,1357,1772,"Male",3,547.5006,638.7507
"152","19-22mo",0.7569,1229.8975,0.29388,650,-363,-85,232,580,954,1350,1767,"Male",3,577.9173,669.1674
"153","20-23mo",0.7475,1220.6029,0.2946,650,-362,-89,225,571,943,1339,1756,"Male",3,608.334,699.5841
"154","21-24mo",0.7393,1206.8517,0.29591,650,-365,-96,214,557,927,1322,1738,"Male",3,638.7507,730.0008
"155","0-4mo",0.7672,4136.2992,0.15684,500,1807,2389,3000,3636,4297,4979,5681,"Male",4,1,121.6668
"156","1-5mo",0.6482,3623.4564,0.17439,500,1413,1940,2511,3123,3774,4462,5186,"Male",4,30.4167,152.0835
"157","2-6mo",0.5632,2900.447,0.19057,500,955,1389,1871,2400,2976,3597,4261,"Male",4,60.8334,182.5002
"158","3-7mo",0.4863,2424.1094,0.2039,500,673,1039,1456,1924,2444,3017,3641,"Male",4,91.2501,212.9169
"159","4-8mo",0.4302,2106.5547,0.21598,500,486,806,1179,1607,2090,2631,3231,"Male",4,121.6668,243.3336
"160","5-9mo",0.4321,1871.4914,0.22766,500,333,627,973,1371,1825,2336,2905,"Male",4,152.0835,273.7503
"161","6-10mo",0.4881,1711.6071,0.24076,500,202,489,825,1212,1649,2138,2678,"Male",4,182.5002,304.167
"162","7-11mo",0.5825,1598.0178,0.25575,500,78,371,711,1098,1528,2000,2513,"Male",4,212.9169,334.5837
"163","8-12mo",0.6678,1526.3463,0.27024,500,-25,281,633,1026,1457,1921,2418,"Male",4,243.3336,365.0004
"164","9-13mo",0.7242,1473.6287,0.2835,500,-107,210,573,974,1407,1870,2359,"Male",4,273.7503,395.4171
"165","10-14mo",0.7587,1423.7181,0.29393,500,-168,154,521,924,1356,1815,2297,"Male",4,304.167,425.8338
"166","11-15mo",0.7822,1370.5468,0.30204,500,-217,105,471,871,1297,1748,2219,"Male",4,334.5837,456.2505
"167","12-16mo",0.7966,1334.9524,0.30757,500,-248,73,438,835,1258,1702,2166,"Male",4,365.0004,486.6672
"168","13-17mo",0.8054,1321.4376,0.31114,500,-266,57,424,821,1244,1688,2151,"Male",4,395.4171,517.0839
"169","14-18mo",0.8084,1315.2621,0.31327,500,-275,49,416,815,1239,1684,2146,"Male",4,425.8338,547.5006
"170","15-19mo",0.8041,1308.5472,0.31429,500,-276,45,411,809,1232,1676,2140,"Male",4,456.2505,577.9173
"171","16-20mo",0.7912,1297.8646,0.31482,500,-272,43,404,798,1219,1663,2128,"Male",4,486.6672,608.334
"172","17-21mo",0.7712,1284.7539,0.3152,500,-264,42,395,785,1204,1648,2114,"Male",4,517.0839,638.7507
"173","18-22mo",0.7469,1271.459,0.31566,500,-255,41,387,771,1188,1633,2102,"Male",4,547.5006,669.1674
"174","19-23mo",0.7222,1262.1643,0.31628,500,-245,42,381,762,1178,1625,2100,"Male",4,577.9173,699.5841
"175","20-24mo",0.6991,1257.3339,0.31696,500,-237,44,379,757,1174,1625,2107,"Male",4,608.334,730.0008
"176","0-6mo",0.5209,4929.7718,0.15679,350,2524,3151,3836,4580,5382,6241,7158,"Male",6,1,182.5002
"177","1-7mo",0.4856,4243.2925,0.17552,350,1960,2538,3182,3893,4672,5518,6432,"Male",6,30.4167,212.9169
"178","2-8mo",0.4609,3442.915,0.19228,350,1411,1905,2465,3093,3789,4556,5392,"Male",6,60.8334,243.3336
"179","3-9mo",0.449,2879.5905,0.20802,350,1035,1467,1965,2530,3163,3867,4642,"Male",6,91.2501,273.7503
"180","4-10mo",0.4511,2501.8054,0.22426,350,772,1166,1625,2152,2748,3414,4152,"Male",6,121.6668,304.167
"181","5-11mo",0.466,2220.6833,0.24197,350,566,933,1368,1871,2443,3086,3800,"Male",6,152.0835,334.5837
