"outcome_group","arm_set","study","studytime","direction","contrast","module","pathway","total","hits","expected","raw_p","fdr_native","fdr_bh_pooled","significant","hit_features"
"primary","combined","Misame","14-21 days","down","BEP","ora","Pyruvate Metabolism",8,1,0.457,0.41,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Fatty Acid Biosynthesis",2,1,0.114,0.113,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Phosphatidylinositol Phosphate Metabolism",3,1,0.171,0.166,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Degradation of Superoxides",3,1,0.171,0.166,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Inositol Metabolism",4,1,0.229,0.218,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Alanine Metabolism",4,1,0.229,0.218,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Urea Cycle",4,1,0.229,0.218,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Gluconeogenesis",4,1,0.229,0.218,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Transfer of Acetyl Groups into Mitochondria",4,1,0.229,0.218,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Arginine and Proline Metabolism",5,1,0.286,0.269,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Phospholipid Biosynthesis",5,1,0.286,0.269,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Lactose Synthesis",5,1,0.286,0.269,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Propanoate Metabolism",6,1,0.343,0.318,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Citric Acid Cycle",6,1,0.343,0.318,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Histidine Metabolism",7,1,0.4,0.365,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Warburg Effect",7,1,0.4,0.365,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Vital","2 mo.","down","BEP","ora","Pyruvate Metabolism",8,1,0.457,0.41,1,0.982969151670951,FALSE,"Manganese"
