Pathway,Overlap Size,Pathway Size,Enrichment Ratio,P-value,FDR,Study,Time Point,Contrast,Regulation,Ionization Mode
Porphyrin metabolism,6,15,0.4,0.00562977901016721,0.334971851104949,MISAME,1-2 mo.,IFA/BEP,Upregulated,Positive
Biopterin metabolism,5,9,0.556,0.00562977901016721,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
Methionine and cysteine metabolism,21,57,-0.368,0.00562977901016721,0.299974792034283,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Butanoate metabolism,7,16,-0.438,0.00562977901016721,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
De novo fatty acid biosynthesis,22,57,-0.386,0.00588185866733888,0.329972271237711,MISAME,14-21 days,IFA/BEP,Downregulated,Negative
Drug metabolism - cytochrome P450,10,23,0.435,0.00596588521972944,0.709940341147803,MISAME,14-21 days,BEP/BEP,Upregulated,Negative
N-Glycan biosynthesis,15,38,0.395,0.00596588521972944,0.27775443706878,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Vitamin A (retinol) metabolism,4,7,-0.571,0.00613393832451055,0.182484665154189,ELICIT,5 mo.,Az.,Downregulated,Positive
TCA cycle,15,54,0.278,0.0062179648769011,0.147987564070246,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Phytanic acid peroxisomal oxidation,12,25,-0.48,0.00630199142929166,0.374968490042854,MISAME,1-2 mo.,BEP/IFA,Downregulated,Negative
Fatty acid oxidation,4,5,0.8,0.00638601798168221,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Prostaglandin formation from arachidonate,16,43,-0.372,0.00638601798168221,0.108562305688598,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Tryptophan metabolism,5,18,-0.278,0.00638601798168221,0.379968069910092,ELICIT,1 mo.,Az.,Downregulated,Positive
Selenoamino acid metabolism,11,23,-0.478,0.00638601798168221,0.751811822535921,ELICIT,1 mo.,Az.,Downregulated,Negative
Leukotriene metabolism,9,25,-0.36,0.00647004453407277,0.192483824888665,ELICIT,5 mo.,Nico,Downregulated,Negative
Carbon fixation,12,29,0.414,0.00647004453407277,0.553953449289976,Mumta-LW,1.5 mo.,BEP,Upregulated,Negative
Vitamin D3 (cholecalciferol) metabolism,5,8,-0.625,0.00655407108646332,0.327972439290816,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Aspartate and asparagine metabolism,13,34,-0.382,0.00655407108646332,0.449962188051424,MISAME,1-2 mo.,BEP/IFA,Downregulated,Positive
Vitamin A (retinol) metabolism,13,33,-0.394,0.00655407108646332,0.155986891857827,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Beta-Alanine metabolism,5,12,0.417,0.00655407108646332,0.389967229644568,ELICIT,5 mo.,Nico,Upregulated,Positive
Vitamin E metabolism,8,18,-0.444,0.00680615074363499,0.327972439290816,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Starch and Sucrose Metabolism,6,17,0.353,0.0069742038484161,0.513138697282887,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Propanoate metabolism,11,53,-0.208,0.00722628350558777,0.653222418284178,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Negative
Pentose phosphate pathway,15,46,0.326,0.00747836316275943,0.534955045794471,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
Vitamin B3 (nicotinate and nicotinamide) metabolism,4,8,0.5,0.00756238971514999,0.269977312830855,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
Propanoate metabolism,19,51,-0.373,0.00756238971514999,0.299974792034283,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Galactose metabolism,5,15,0.333,0.00764641626754054,0.535837324594572,ELICIT,5 mo.,Nico+Az.,Upregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,5,11,-0.455,0.0077304428199311,0.199983194689522,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,23,61,0.377,0.00781446937232165,0.592450214267709,ELICIT,1 mo.,Nico,Upregulated,Negative
Carnitine shuttle,11,22,-0.5,0.00781446937232165,0.232480463826569,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Androgen and estrogen biosynthesis and metabolism,9,17,-0.529,0.00831862868666499,0.329972271237711,MISAME,14-21 days,IFA/BEP,Downregulated,Negative
Glycerophospholipid metabolism,13,33,-0.394,0.00840265523905554,0.4599613477859,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Porphyrin metabolism,5,10,0.5,0.00840265523905554,0.142845139063944,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Beta-Alanine metabolism,6,11,-0.545,0.00857070834383665,0.449962188051424,MISAME,1-2 mo.,BEP/IFA,Downregulated,Positive
C5-Branched dibasic acid metabolism,10,21,0.476,0.00857070834383665,0.513706831358709,ELICIT,5 mo.,Nico,Upregulated,Negative
Drug metabolism - cytochrome P450,6,13,-0.462,0.00873876144861776,0.15427275018906,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Linoleate metabolism,5,11,0.455,0.00882278800100832,0.496933030837745,MISAME,14-21 days,IFA/BEP,Upregulated,Positive
"Glycine, serine, alanine and threonine metabolism",9,28,-0.321,0.00899084110578943,0.199983194689522,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Carbon fixation,2,2,1,0.00907486765817998,0.269977312830855,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
Nucleotide Sugar Metabolism,2,2,1,0.00907486765817998,0.269977312830855,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
Glycosphingolipid metabolism,9,25,-0.36,0.00907486765817998,0.15427275018906,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
N-Glycan Degradation,7,17,0.412,0.00915889421057054,0.272477102764474,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Saturated fatty acids beta-oxidation,4,7,-0.571,0.00915889421057054,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,4,10,0.4,0.00915889421057054,0.294345013024116,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Positive
Linoleate metabolism,5,9,-0.556,0.00949500042013276,0.530375598689186,MISAME,3-4 mo.,BEP/BEP,Downregulated,Positive
Vitamin B1 (thiamin) metabolism,4,8,-0.5,0.00957902697252332,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
Glycerophospholipid metabolism,12,36,-0.333,0.00957902697252332,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Beta-Alanine metabolism,4,8,-0.5,0.0100831862868667,0.199983194689522,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Fatty acid activation,20,62,-0.323,0.0102512393916478,0.203316247934347,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
"Glycine, serine, alanine and threonine metabolism",32,102,-0.314,0.0102512393916478,0.299974792034283,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
De novo fatty acid biosynthesis,10,23,-0.435,0.0104192924964289,0.619947903537518,MISAME,1-2 mo.,IFA/BEP,Downregulated,Positive
Glyoxylate and Dicarboxylate Metabolism,14,38,0.368,0.0105033190488194,0.553953449289976,Mumta-LW,1.5 mo.,BEP,Upregulated,Negative
Glutamate metabolism,14,52,0.269,0.0106713721536005,0.192483824888665,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Xenobiotics metabolism,5,8,-0.625,0.0107553987059911,0.4599613477859,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Chondroitin sulfate degradation,2,2,1,0.0108394252583817,0.429963868582472,MISAME,1-2 mo.,IFA/BEP,Upregulated,Positive
N-Glycan biosynthesis,10,29,-0.345,0.0108394252583817,0.644945802873708,Mumta-LW,1.5 mo.,BEP,Downregulated,Negative
