Pathway,Overlap Size,Pathway Size,Enrichment Ratio,P-value,FDR,Study,Time Point,Contrast,Regulation,Ionization Mode
Prostaglandin formation from arachidonate,12,50,0.24,0.0363834971851105,0.38353919838669,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Fatty acid activation,15,43,-0.349,0.0364675237375011,0.542454415595328,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
Vitamin B5 - CoA biosynthesis from pantothenate,3,5,0.6,0.0364675237375011,0.643727417864045,Mumta-LW,2 mo.,BEP+ExBf,Upregulated,Positive
Vitamin B1 (thiamin) metabolism,3,8,0.375,0.0367196033946727,0.513138697282887,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Tryptophan metabolism,8,25,-0.32,0.0367196033946727,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Purine metabolism,8,25,-0.32,0.0367196033946727,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Glycolysis and Gluconeogenesis,19,82,0.232,0.0372237627090161,0.632803966053273,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Glycosphingolipid metabolism,4,10,-0.4,0.0373077892614066,0.319973111503235,ELICIT,5 mo.,Az.,Downregulated,Positive
Urea cycle/amino group metabolism,8,30,-0.267,0.0373077892614066,0.396633336134218,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Linoleate metabolism,7,17,-0.412,0.0373918158137972,0.635660868834552,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Urea cycle/amino group metabolism,10,31,-0.323,0.0375598689185783,0.638517771615831,MISAME,1-2 mo.,BEP/IFA,Downregulated,Positive
Tyrosine metabolism,35,149,0.235,0.0376438954709688,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Pyruvate Metabolism,2,3,0.667,0.0377279220233594,0.520796571716662,MISAME,14-21 days,BEP/BEP,Upregulated,Positive
Prostaglandin formation from dihomo gama-linoleic acid,2,2,1,0.0377279220233594,0.738761448617763,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
C5-Branched dibasic acid metabolism,12,22,0.545,0.0377279220233594,0.543031290195394,MISAME,3-4 mo.,BEP/BEP,Upregulated,Negative
Vitamin A (retinol) metabolism,5,19,0.263,0.0378119485757499,0.513138697282887,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
N-Glycan Degradation,6,18,-0.333,0.0378119485757499,0.281087490313606,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Glycosphingolipid biosynthesis - ganglioseries,3,6,0.5,0.0382320813377027,0.342114108058146,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Vitamin B2 (riboflavin) metabolism,3,6,0.5,0.0382320813377027,0.342114108058146,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Heparan sulfate degradation,3,4,0.75,0.0383161078900933,0.731188555583564,ELICIT,1 mo.,Nico,Upregulated,Negative
Glycosphingolipid biosynthesis - globoseries,2,3,-0.667,0.0383161078900933,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
Tyrosine metabolism,36,156,0.231,0.0384001344424838,0.738761448617763,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
Fatty acid oxidation,4,7,-0.571,0.0384841609948744,0.457961515839005,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Pyrimidine metabolism,7,23,0.304,0.0385681875472649,0.342114108058146,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Squalene and cholesterol biosynthesis,3,6,-0.5,0.0385681875472649,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Biopterin metabolism,3,6,-0.5,0.0385681875472649,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Hexose phosphorylation,20,42,0.476,0.0387362406520461,0.543031290195394,MISAME,3-4 mo.,BEP/BEP,Upregulated,Negative
TCA cycle,4,14,0.286,0.0387362406520461,0.401058734560121,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
Glycosphingolipid biosynthesis - globoseries,7,25,-0.28,0.0387362406520461,0.735820519284094,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Negative
Polyunsaturated fatty acid biosynthesis,2,3,-0.667,0.0393244265187799,0.286291731345,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Glycosphingolipid biosynthesis - lactoseries,8,23,0.348,0.0394924796235611,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Blood Group Biosynthesis,8,23,0.348,0.0394924796235611,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Glycosphingolipid biosynthesis - neolactoseries,8,23,0.348,0.0394924796235611,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Keratan sulfate biosynthesis,8,23,0.348,0.0394924796235611,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
O-Glycan biosynthesis,8,23,0.348,0.0394924796235611,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Bile acid biosynthesis,12,33,-0.364,0.0399126123855138,0.561063962878937,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
C21-steroid hormone biosynthesis and metabolism,5,11,-0.455,0.0399966389379044,0.366123079508509,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
TCA cycle,5,16,-0.312,0.0399966389379044,0.396633336134218,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Purine metabolism,8,28,0.286,0.040248718595076,0.342114108058146,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Fructose and mannose metabolism,7,23,-0.304,0.040248718595076,0.281087490313606,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Vitamin B3 (nicotinate and nicotinamide) metabolism,4,10,0.4,0.040248718595076,0.371397361566255,Mumta-LW,1.5 mo.,BEP,Upregulated,Positive
Arachidonic acid metabolism,5,13,-0.385,0.0403327451474666,0.530375598689186,MISAME,3-4 mo.,BEP/BEP,Downregulated,Positive
Biopterin metabolism,2,4,0.5,0.0403327451474666,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Galactose metabolism,11,40,-0.275,0.0403327451474666,0.75649105117217,Mumta-LW,1.5 mo.,BEP,Downregulated,Negative
Propanoate metabolism,17,71,-0.239,0.0404167716998572,0.772708175783548,MISAME,14-21 days,BEP/BEP,Downregulated,Negative
Drug metabolism - cytochrome P450,2,4,0.5,0.0404167716998572,0.451138559784892,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Positive
N-Glycan biosynthesis,23,50,0.46,0.0406688513570288,0.543031290195394,MISAME,3-4 mo.,BEP/BEP,Upregulated,Negative
Methionine and cysteine metabolism,16,73,0.219,0.041004957566591,0.38353919838669,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Arginine and Proline Metabolism,5,19,0.263,0.041004957566591,0.451138559784892,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Positive
Methionine and cysteine metabolism,19,62,0.306,0.0411730106713722,0.54439869665481,ELICIT,5 mo.,Nico,Upregulated,Negative
Squalene and cholesterol biosynthesis,9,23,-0.391,0.0414250903285438,0.751811822535921,ELICIT,1 mo.,Az.,Downregulated,Negative
Sphingolipid metabolism,2,2,-1,0.0415091168809344,0.808503487101924,MISAME,14-21 days,BEP/IFA,Downregulated,Negative
Vitamin B2 (riboflavin) metabolism,1,1,1,0.0415091168809344,0.294345013024116,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Positive
Lipoate metabolism,1,1,1,0.0415091168809344,0.294345013024116,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Positive
Vitamin B6 (pyridoxine) metabolism,1,1,1,0.0415091168809344,0.294345013024116,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Positive
C5-Branched dibasic acid metabolism,7,17,0.412,0.0416771699857155,0.749012688009411,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Negative
Tyrosine metabolism,26,112,0.232,0.041761196538106,0.695739853793799,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
Bile acid biosynthesis,11,39,-0.282,0.0419292496428872,0.382110746996051,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Bile acid biosynthesis,5,13,0.385,0.0421813293000588,0.53256028905134,ELICIT,1 mo.,Az.,Upregulated,Positive
Fatty acid oxidation,5,10,-0.5,0.0424334089572305,0.561063962878937,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
Tryptophan metabolism,9,33,-0.273,0.042517435509621,0.281087490313606,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
"Valine, leucine and isoleucine degradation",7,23,0.304,0.0429375682715738,0.42579755202644,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Glycosphingolipid biosynthesis - ganglioseries,2,3,-0.667,0.0430215948239644,0.319973111503235,ELICIT,5 mo.,Az.,Downregulated,Positive
C5-Branched dibasic acid metabolism,2,3,-0.667,0.0430215948239644,0.319973111503235,ELICIT,5 mo.,Az.,Downregulated,Positive
CoA Catabolism,2,3,-0.667,0.0430215948239644,0.319973111503235,ELICIT,5 mo.,Az.,Downregulated,Positive
Tyrosine metabolism,31,150,-0.207,0.0431056213763549,0.772708175783548,MISAME,14-21 days,BEP/BEP,Downregulated,Negative
Fatty acid activation,17,50,-0.34,0.0431056213763549,0.747437190152088,MISAME,14-21 days,IFA/BEP,Downregulated,Negative
N-Glycan biosynthesis,4,10,-0.4,0.0431896479287455,0.286291731345,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Glycosphingolipid metabolism,4,10,-0.4,0.0431896479287455,0.286291731345,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
R Group Synthesis,2,3,-0.667,0.0431896479287455,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Aspartate and asparagine metabolism,8,35,0.229,0.0433577010335266,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Bile acid biosynthesis,3,9,-0.333,0.0433577010335266,0.527686749012688,ELICIT,5 mo.,Nico+Az.,Downregulated,Positive
Purine metabolism,17,67,0.254,0.0433577010335266,0.695739853793799,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
Starch and Sucrose Metabolism,11,29,-0.379,0.0437778337954794,0.611198638769851,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Androgen and estrogen biosynthesis and metabolism,4,9,0.444,0.0437778337954794,0.771783883707252,ELICIT,1 mo.,Az.,Upregulated,Negative
Glycosphingolipid biosynthesis - ganglioseries,2,4,-0.5,0.0439458869002605,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Hexose phosphorylation,11,32,0.344,0.044029913452651,0.7927064952525,MISAME,3-4 mo.,IFA/BEP,Upregulated,Negative
Omega-3 fatty acid metabolism,5,10,-0.5,0.0442819931098227,0.464960927653138,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Bile acid biosynthesis,4,13,-0.308,0.0444500462146038,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,2,4,0.5,0.0444500462146038,0.513138697282887,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Pyruvate Metabolism,15,68,0.221,0.0445340727669944,0.38353919838669,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Aminosugars metabolism,6,19,0.316,0.044786152424166,0.355303475898384,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Omega-6 fatty acid metabolism,9,22,0.409,0.0448701789765566,0.731188555583564,ELICIT,1 mo.,Nico,Upregulated,Negative
Linoleate metabolism,7,18,-0.389,0.0449542055289472,0.625409629442904,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Vitamin B5 - CoA biosynthesis from pantothenate,4,9,-0.444,0.0449542055289472,0.382110746996051,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
CoA Catabolism,4,9,-0.444,0.0449542055289472,0.382110746996051,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Mono-unsaturated fatty acid beta-oxidation,4,9,-0.444,0.0449542055289472,0.382110746996051,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Prostaglandin formation from arachidonate,18,55,-0.327,0.0449542055289472,0.830434417275859,MISAME,1-2 mo.,BEP/IFA,Downregulated,Negative
Squalene and cholesterol biosynthesis,9,27,-0.333,0.0449542055289472,0.659944542475422,ELICIT,1 mo.,Nico,Downregulated,Negative
Squalene and cholesterol biosynthesis,7,25,0.28,0.0451222586337283,0.38353919838669,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Pyrimidine metabolism,6,18,-0.333,0.0452062851861188,0.286291731345,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Proteoglycan biosynthesis,5,16,-0.312,0.045542391395681,0.735820519284094,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Negative
Leukotriene metabolism,11,29,-0.379,0.0457104445004622,0.747437190152088,MISAME,14-21 days,IFA/BEP,Downregulated,Negative
Methionine and cysteine metabolism,5,14,-0.357,0.0457104445004622,0.286291731345,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Vitamin B2 (riboflavin) metabolism,3,6,0.5,0.0457944710528527,0.52715570120158,ELICIT,5 mo.,Az.,Upregulated,Negative
CoA Catabolism,3,6,0.5,0.0457944710528527,0.52715570120158,ELICIT,5 mo.,Az.,Upregulated,Negative
Pentose and Glucuronate Interconversions,5,13,0.385,0.0458784976052433,0.771783883707252,ELICIT,1 mo.,Az.,Upregulated,Negative
Glutamate metabolism,6,31,-0.194,0.046298630367196,0.653222418284178,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Negative
Tryptophan metabolism,4,18,0.222,0.0463826569195866,0.294345013024116,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Positive
TCA cycle,23,63,0.365,0.0464666834719772,0.763685824720612,Mumta-LW,2 mo.,BEP+ExBf,Upregulated,Negative
Carnitine shuttle,5,12,0.417,0.0465507100243677,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Bile acid biosynthesis,13,37,-0.351,0.0465507100243677,0.579326317116209,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
TCA cycle,21,67,-0.313,0.0466347365767583,0.830434417275859,MISAME,1-2 mo.,BEP/IFA,Downregulated,Negative
Dynorphin metabolism,3,4,0.75,0.0468027896815394,0.763685824720612,Mumta-LW,2 mo.,BEP+ExBf,Upregulated,Negative
Phytanic acid peroxisomal oxidation,9,28,0.321,0.0468868162339299,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Androgen and estrogen biosynthesis and metabolism,6,13,-0.462,0.0468868162339299,0.464960927653138,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Urea cycle/amino group metabolism,10,35,-0.286,0.047054869338711,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Omega-6 fatty acid metabolism,10,28,0.357,0.0472229224434922,0.561952777077557,ELICIT,5 mo.,Nico,Upregulated,Negative
Di-unsaturated fatty acid beta-oxidation,6,15,-0.4,0.0480631879673977,0.439963028316948,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Polyunsaturated fatty acid biosynthesis,6,15,-0.4,0.0480631879673977,0.439963028316948,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Bile acid biosynthesis,3,9,0.333,0.0481472145197883,0.513138697282887,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Methionine and cysteine metabolism,13,59,-0.22,0.0483152676245694,0.735820519284094,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Negative
Vitamin D3 (cholecalciferol) metabolism,3,5,-0.6,0.0484833207293505,0.625409629442904,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Phytanic acid peroxisomal oxidation,3,8,-0.375,0.0489874800436938,0.416393580371397,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Pentose phosphate pathway,3,8,-0.375,0.0489874800436938,0.416393580371397,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Linoleate metabolism,8,27,-0.296,0.0490715065960844,0.772708175783548,MISAME,14-21 days,BEP/BEP,Downregulated,Negative
Bile acid biosynthesis,13,37,-0.351,0.0490715065960844,0.830434417275859,MISAME,1-2 mo.,BEP/IFA,Downregulated,Negative
Glycosphingolipid biosynthesis - globoseries,18,38,0.474,0.0491555331484749,0.543031290195394,MISAME,3-4 mo.,BEP/BEP,Upregulated,Negative
R Group Synthesis,2,2,1,0.0491555331484749,0.731188555583564,ELICIT,1 mo.,Nico,Upregulated,Negative
Pyruvate Metabolism,14,58,0.241,0.0491555331484749,0.52715570120158,ELICIT,5 mo.,Az.,Upregulated,Negative
Phosphatidylinositol phosphate metabolism,4,17,0.235,0.0492395597008655,0.535837324594572,ELICIT,5 mo.,Nico+Az.,Upregulated,Positive
Galactose metabolism,10,39,-0.256,0.0492395597008655,0.298974876060835,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Hexose phosphorylation,4,11,0.364,0.0494076128056466,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
Saturated fatty acids beta-oxidation,7,16,-0.438,0.0499117721199899,0.611198638769851,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Hexose phosphorylation,11,36,-0.306,0.0499117721199899,0.659944542475422,ELICIT,1 mo.,Nico,Downregulated,Negative
