"outcome_class","category","label","biomarker","study","visit","Control_N","Nico_N","BEP_N","Control_raw_mean","Nico_raw_mean","BEP_raw_mean","Control_raw_sd","Nico_raw_sd","BEP_raw_sd","Control_raw_median","Nico_raw_median","BEP_raw_median","Control_raw_q25","Nico_raw_q25","BEP_raw_q25","Control_raw_q75","Nico_raw_q75","BEP_raw_q75","ATE","ATE_cil","ATE_ciu","pval","pval_adj","sigFDR"
"secondary","Bioactive","Total sum of HMO concentrations","Sum_nmol.ml","Misame","14-21 days",154,NA,122,19620.1224675314,NA,18270.678720161,5793.4731862993,NA,5065.97587549153,19431.3069118075,NA,18061.0826889901,15582.6661858072,NA,14427.1369085902,23027.0605482883,NA,22110.9745405744,-500.743988323353,-1714.07219107977,712.584214433061,0.418582625575071,0.785510826465983,0
"secondary","Bioactive","Total sum of HMO concentrations","Sum_nmol.ml","Misame","3-4 mo.",157,NA,123,11422.5565269363,NA,11305.1118890549,3772.30386808543,NA,3809.81336448518,11300.7878844662,NA,10582.0434909878,8985.73968703947,NA,9001.15695325864,13805.8218936232,NA,13048.6038192378,-581.605624542275,-1439.42498316232,276.21373407777,0.18389252995969,0.39077162616434,0
"secondary","Bioactive","Total sum of HMO concentrations","Sum_nmol.ml","Vital","1.5 mo.",50,NA,100,11694.0297893452,NA,11879.1145288151,3764.74873037188,NA,3661.07996107041,12020.9820734971,NA,11484.0971689359,8664.65180666361,NA,9182.54677051854,14426.4642670057,NA,14293.7625930295,185.084739469956,-1074.86423353195,1445.03371247186,0.773411066424652,0.821749258076193,0
"secondary","Bioactive","Total sum of HMO concentrations","Sum_nmol.ml","Vital","2 mo.",50,NA,100,9978.27905762592,NA,10991.4890738017,3074.43317201285,NA,3474.46312858377,9522.33973997401,NA,10822.8712950028,7750.76775629607,NA,8070.67581206885,12730.8877180138,NA,13076.2122906154,1013.21001617581,-72.4386849036421,2098.85871725525,0.0673715096012717,0.328396401961104,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_nmol.ml","Elicit","1 mo.",99,101,NA,4155.04740969386,3926.33953518049,NA,2957.74036688353,2892.92845434151,NA,4204.44695770392,3843.69961967961,NA,1536.26610989399,1758.93163970494,NA,5998.57945852093,5787.33271804387,NA,-228.707874513372,-1037.69237524319,580.276626216445,0.579509661350483,0.93523065603239,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_pct","Elicit","1 mo.",99,101,NA,25.1050317215689,23.7724931889953,NA,16.1391803171583,15.2277334105881,NA,26.4666519963763,26.8043573276393,NA,13.5558995877854,12.5604378768947,NA,35.1625770719399,34.1285507121555,NA,-1.30923055756876,-5.6352914635752,3.01683034843767,0.553074318542608,0.93523065603239,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_nmol.ml","Elicit","5 mo.",99,100,NA,2997.3519910709,3006.72259855436,NA,2390.03607412044,2573.99573624309,NA,2699.54061757378,2610.96156243694,NA,1569.06081576536,1354.85042480615,NA,4078.46325933819,4147.99409947347,NA,9.37060748345311,-678.933006746688,697.674221713594,0.978712516900726,0.998181792785883,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_pct","Elicit","5 mo.",99,100,NA,31.2188353252516,29.795293409771,NA,19.5796775075443,18.9872146121508,NA,31.3176967354174,31.7999138637737,NA,20.7829674743901,16.1797433255186,NA,43.65100570758,43.416974736347,NA,-1.39892357266423,-6.72888449083504,3.93103734550659,0.606958205549348,0.998181792785883,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_nmol.ml","Misame","1-2 mo.",163,NA,124,5089.95153269506,NA,4283.19754177393,3678.17989023261,NA,3458.38923370722,4867.64951421413,NA,4259.68910507037,2603.59356679121,NA,249.906174057543,7274.60666329571,NA,6348.96460976251,-570.573559463614,-1347.14628324035,205.999164313124,0.149853225820546,0.706842582734601,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_pct","Misame","1-2 mo.",163,NA,124,35.3420722148188,NA,30.9809453523247,20.9573846027973,NA,21.6733307487788,37.0254763637916,NA,36.4562573647272,21.6260420701683,NA,2.21210226008352,49.7699485000094,NA,46.6447451895446,-3.92259364484956,-8.55339448037665,0.70820719067752,0.0968704585362434,0.706842582734601,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_pct","Misame","14-21 days",154,NA,122,30.3351841162389,NA,26.5762752648506,18.3863359819302,NA,19.4359452064713,31.8630976712032,NA,28.8585745706485,19.3432330478726,NA,0.719654404196946,43.231148639796,NA,41.3747123555206,-4.12036962192942,-8.23271285216726,-0.00802639169157349,0.0495545193739842,0.394208331222799,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_nmol.ml","Misame","14-21 days",154,NA,122,6442.18493713265,NA,5378.07092113014,4703.51204234814,NA,4406.71487361516,6028.54229909237,NA,5534.29305664402,2662.5619549364,NA,118.078380480722,9487.27471928802,NA,8234.63107264116,-788.203968995344,-1797.95262717263,221.544689181944,0.12603243194152,0.565858837539457,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_nmol.ml","Misame","3-4 mo.",157,NA,123,4711.55154485118,NA,4066.64884860521,3509.73321836354,NA,3294.09338629646,4606.10528611351,NA,4056.90971685763,2549.89222572203,NA,157.939177108964,6284.98230498856,NA,6544.79774912271,-735.433003620539,-1511.51721961785,40.6512123767666,0.0632683038153647,0.288553566867268,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_pct","Misame","3-4 mo.",157,NA,123,38.0781239675847,NA,32.7593605486692,22.9044423918212,NA,23.6748758431273,39.9320103132568,NA,34.6028587569586,23.6641270316266,NA,1.45473379853999,53.5070684170197,NA,50.7606626422598,-4.45016291444482,-9.33954141671648,0.439215587826831,0.0744400247044449,0.292033943071284,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_pct","Vital","1.5 mo.",50,NA,100,21.4479343469679,NA,28.2543084858519,20.4622291637983,NA,19.9525848015424,21.3144893341343,NA,32.5902039663307,0.18681119744218,NA,4.61832906576417,39.6929323569114,NA,44.9106300599163,4.12236185790977,-1.14460117140249,9.38932488722204,0.125022203569811,0.392034374015145,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_nmol.ml","Vital","1.5 mo.",50,NA,100,3097.12885372335,NA,3844.39115259152,3181.34912225739,NA,3212.63548755859,3060.7615185349,NA,3752.20700816589,10.9221661601053,NA,539.178337106429,5290.61110213043,NA,5633.33839013173,212.245284687336,-571.713612791255,996.204182165927,0.595674314667911,0.778958719181114,0
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_nmol.ml","Vital","2 mo.",50,NA,100,2636.97818695191,NA,3604.04193215708,2814.93327034722,NA,2819.63867609211,2210.28199999064,NA,3924.99091104654,6.84593395763629,NA,628.069639884455,5032.6841676092,NA,5248.41793498036,967.063745205168,15.7508300062735,1918.37666040406,0.0463255441087606,0.328396401961104,0
