"","VARNAME","variable_original","seq_original","label_original","MEMNAME","VISIT_ddf","TARGETVR_ddf","TESTCD_ddf","RELTIVE_ddf","N_ddf","Matched_Full"
"768","PN_CMUAC3_3","pn_cmuac3_3",852,"Infant MUAC_3","MISAME3_WIDE","Post Natal FU M03","MUACCM",NA,NA,1,"missing"
"769","PN_CMUAC3_4","pn_cmuac3_4",853,"Infant MUAC_3","MISAME3_WIDE","Post Natal FU M04","MUACCM",NA,NA,0,"missing"
"770","PN_CMUAC3_5","pn_cmuac3_5",854,"Infant MUAC_3","MISAME3_WIDE","Post Natal FU M05","MUACCM",NA,NA,1,"missing"
"771","PN_CMUAC3_6","pn_cmuac3_6",855,"Infant MUAC_3","MISAME3_WIDE","Post Natal FU M06","MUACCM",NA,NA,0,"missing"
"772","PN_CMUAC3_9","pn_cmuac3_9",856,"Infant MUAC_3","MISAME3_WIDE","Post Natal FU M09","MUACCM",NA,NA,0,"missing"
"766","PN_CMUAC3_12","pn_cmuac3_12",857,"Infant MUAC_3","MISAME3_WIDE","Post Natal FU M12","MUACCM",NA,NA,0,"missing"
"733","PN_CMUAC_1","pn_cmuac_1",858,"Infant MUAC_mean","MISAME3_WIDE",NA,NA,NA,NA,275,"missing"
"741","PN_CMUAC_CAT_1","pn_cmuac_cat_1",859,"Infant MUAC_category","MISAME3_WIDE",NA,NA,NA,NA,275,"missing"
"735","PN_CMUAC_2","pn_cmuac_2",860,"Infant MUAC_mean","MISAME3_WIDE",NA,NA,NA,NA,276,"missing"
"743","PN_CMUAC_CAT_2","pn_cmuac_cat_2",861,"Infant MUAC_category","MISAME3_WIDE",NA,NA,NA,NA,276,"missing"
"736","PN_CMUAC_3","pn_cmuac_3",862,"Infant MUAC_mean","MISAME3_WIDE",NA,NA,NA,NA,265,"missing"
"744","PN_CMUAC_CAT_3","pn_cmuac_cat_3",863,"Infant MUAC_category","MISAME3_WIDE",NA,NA,NA,NA,265,"missing"
"737","PN_CMUAC_4","pn_cmuac_4",864,"Infant MUAC_mean","MISAME3_WIDE",NA,NA,NA,NA,279,"missing"
"745","PN_CMUAC_CAT_4","pn_cmuac_cat_4",865,"Infant MUAC_category","MISAME3_WIDE",NA,NA,NA,NA,279,"missing"
"738","PN_CMUAC_5","pn_cmuac_5",866,"Infant MUAC_mean","MISAME3_WIDE",NA,NA,NA,NA,267,"missing"
"746","PN_CMUAC_CAT_5","pn_cmuac_cat_5",867,"Infant MUAC_category","MISAME3_WIDE",NA,NA,NA,NA,267,"missing"
"739","PN_CMUAC_6","pn_cmuac_6",868,"Infant MUAC_mean","MISAME3_WIDE",NA,NA,NA,NA,275,"missing"
"747","PN_CMUAC_CAT_6","pn_cmuac_cat_6",869,"Infant MUAC_category","MISAME3_WIDE",NA,NA,NA,NA,275,"missing"
"740","PN_CMUAC_9","pn_cmuac_9",870,"Infant MUAC_mean","MISAME3_WIDE",NA,NA,NA,NA,168,"missing"
