VarName,label,Longitudinal.,IMiC_dataset,VITAL.LACTATION,ELICIT,MISAME.3,CHILD,SDTM_mapped,datlabel,VarSubCategory,NEW,variable_original_MISAME,label_original_MISAME,VISIT_MISAME,variable_original_ELICIT,label_original_ELICIT,VISIT_ELICIT,variable_original_CHILD,label_original_CHILD,VISIT_CHILD,variable_original_VITAL.L,label_original_VITAL.L,VISIT_VITAL.L
SITEID,Site ID,no,yes,1,1,1,1,yes,Identifier Variables,Geography,NA,NA,NA,NA,NA,NA,NA,StudyCenter,CHILD study site,NA,NA,NA,NA
CITYTOWN,"City, town or village",no,yes,1,0,1,1,yes,Investigational Sites,Geography,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPERSON,Number of people in house,no,yes,1,1,1,1,yes,Subject Socioeconomic Status,Home Characteristics,NA,incl_hhsize,Household size,Baseline / Enrolment,CEF_NBR_PEOPLE_INHOME,How many people live in this household?,Enrolment Visit,NA,NA,NA,crf3b_q7,Number of people living in household?,Baseline
NROOMS,Number of rooms in house,no,yes,1,1,1,1,yes,Subject Socioeconomic Status,Home Characteristics,NA,incl_hhrooms,Number of living rooms,Baseline / Enrolment,CEF_ROOMS,How many rooms do they have in the house?,Enrolment Visit,NA,NA,NA,crf3b_q8,Number of rooms are in the household for sleeping?,Baseline
INCTOTU,Units of Total Income,no,yes,0,1,0,1,no,NA,Household Security Index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INCTOT,Total Income,no,yes,0,1,0,1,yes,Subject Socioeconomic Status,Household Security Index,NA,NA,NA,NA,CEF_AVG_MTHLY_INCOME,What is the average monthly income for the entire household? in.usd=income in US dollars,Enrolment Visit,CHILD_98180,"Family income What is the best estimate of the total income, before taxes and deductions, of all household members, from all sources in the past 12 months?",Prenatal 18W,NA,NA,NA
ARM,Intervention description,no,yes,1,1,1,0,yes,Subject Level Data,Intervention,NA,gi_treatmentl; gi_treatment2,Prenatal intervention; Postnatal intervention,NA; NA,IRS_RAN_SUBGROUP; IRS_RAN_SUBGROUP_NIC; IRS_RAN_SUBGROUP_ANTI,Randomization arm; Nicotinamide Arm; Antibiotic Arm,NA; NA; NA,NA,NA,NA,NA,NA,NA
ARMCD,Intervention Code,no,yes,1,1,1,0,yes,Subject Level Data,Intervention,NA,gi_treatmentl; gi_treatment2,Prenatal intervention; Postnatal intervention,NA; NA,IRS_RAN_SUBGROUP; IRS_RAN_SUBGROUP_NIC; IRS_RAN_SUBGROUP_ANTI,Randomization arm; Nicotinamide Arm; Antibiotic Arm,NA; NA; NA,NA,NA,NA,q9,q9,Randomization
MCRP,Maternal C-Reactive protein level in serum,yes,yes,1,0,0,0,yes,Laboratory Test Results,Maternal Biomarkers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q84; q147,Maternal C-Reactive protein level - first time-point; Maternal C-Reactive protein level - second time-point,Follow up Day 42; Follow up Day 56
MFERRITIN,Maternal ferritin level in serum,yes,yes,1,0,0,0,yes,Laboratory Test Results,Maternal Biomarkers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q82; q145,Maternal ferritin level - first time-point; Maternal ferritin level - second time-point,Follow up Day 42; Follow up Day 56
MSTRF,Maternal transferin level in serum,yes,yes,1,0,0,0,yes,Laboratory Test Results,Maternal Biomarkers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q83; q146,Maternal  transferin level - first time-point; Maternal  transferin level - second time-point,Follow up Day 42; Follow up Day 56
MAGP,Maternal alpha(1)-acid glycoprotein in serum,yes,yes,1,0,0,0,yes,Microbiology Results,Maternal Biomarkers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q85; q148,Maternal alpha(1)-acid glycoprotein level - first time-point; Maternal alpha(1)-acid glycoprotein level - second time-point,Follow up Day 42; Follow up Day 56
MBMI,Mother BMI (kg/m**2),yes,yes,1,1,1,1,yes,Anthropometry for Relative(s),Maternal Characterisitcs,NA,bc_wbmi,Maternal body mass index,Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
MHTCM,Mother Standing height (cm),yes,yes,1,1,1,1,yes,Anthropometry for Relative(s),Maternal Characterisitcs,NA,cpn1_wheight1; cpn1_wheight2,Woman's length CPN 1 - 1st measurement; Woman's length CPN 1 - 2nd measurement,Baseline / Enrolment; Baseline / Enrolment,MTHR_HEIGHT,Height of mother num.ebf=Number of months of exclusive breastfeeding num.saes=cumulative number of serious adverse events num.sae.di=number of gastroenteritis serious adverse events num.sae.alri=number of ALRI serious adverse events num.sae.sep=number of s,Enrolment Visit,CHILD_107785,Height (cm) before spirometry (without shoes),1 Year FU,crf3c_q18,System gererated average maternal height in cm,Baseline
