"","VARNAME","variable_original","seq_original","label_original","MEMNAME","VISIT_ddf","TARGETVR_ddf","TESTCD_ddf","RELTIVE_ddf","N_ddf","Matched_Full"
"93","HB_2","HB_2",158,"Hemoglobin (g/dL) at two months","ELICIT_METADATA_IMIC_042021","Lab visit 1","LBSTRESN","HGB","Child",200,"no"
"96","HCT_2","HCT_2",159,"Hematocrit (%) at two months","ELICIT_METADATA_IMIC_042021","Lab visit 1","LBSTRESN","HCT","Child",200,"no"
"205","WBC_2","WBC_2",160,"White blood cell count (1000 cells/uL) at two months","ELICIT_METADATA_IMIC_042021","Lab visit 1","LBSTRESN","WBC","Child",200,"no"
"172","PLATELETS_2","PLATELETS_2",161,"Platelets (platelets/uL) at two months","ELICIT_METADATA_IMIC_042021","Lab visit 1","LBSTRESN","PLAT","Child",200,"no"
"30","ALT_2","ALT_2",162,"Alanine aminotransaminase (U/L) at two months","ELICIT_METADATA_IMIC_042021","Lab visit 1","LBSTRESN","ALT","Child",200,"no"
"40","AST_2","AST_2",163,"Aspartate aminotransaminase (U/L) at two months","ELICIT_METADATA_IMIC_042021","Lab visit 1","LBSTRESN","AST","Child",200,"no"
"47","BILIRUBIN_2","BILIRUBIN_2",164,"Bilirubin (umol/L) at two months","ELICIT_METADATA_IMIC_042021","Lab visit 1","LBSTRESN","BILITOT","Child",200,"no"
"84","CREATININE_2","CREATININE_2",165,"Creatinine (mmol/L) at two months","ELICIT_METADATA_IMIC_042021","Lab visit 1","LBSTRESN","CREATN","Child",200,"no"
"44","BICARB_2","BICARB_2",166,"Bicarbonate (mmol/L) at two months","ELICIT_METADATA_IMIC_042021","Lab visit 1","LBSTRESN","BICARB","Child",200,"no"
"53","BUN_2","BUN_2",167,"Blood urea nitrogen (mmol/L) at two months","ELICIT_METADATA_IMIC_042021","Lab visit 1","LBSTRESN","BUN","Child",200,"no"
"180","SODIUM_2","SODIUM_2",168,"Sodium (mmol/L) at two months","ELICIT_METADATA_IMIC_042021","Lab visit 1","LBSTRESN","SOD","Child",200,"no"
"79","CHLORIDE_2","CHLORIDE_2",169,"Chloride (mmol/L) at two months","ELICIT_METADATA_IMIC_042021","Lab visit 1","LBSTRESN","CHL","Child",200,"no"
"94","HB_8","HB_8",170,"Hemoglobin (g/dL) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 2","LBSTRESN","HGB","Child",200,"no"
"97","HCT_8","HCT_8",171,"Hematocrit (%) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 2","LBSTRESN","HCT","Child",200,"no"
"206","WBC_8","WBC_8",172,"White blood cell count (1000 cells/uL) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 2","LBSTRESN","WBC","Child",200,"no"
"173","PLATELETS_8","PLATELETS_8",173,"Platelets (platelets/uL) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 2","LBSTRESN","PLAT","Child",200,"no"
